knesset,session,speaker,party,role,text,subject,sub_subject
,,,,,"דברי הכנסתחוברת כ""וישיבה קכ""ז",מסמכים שהונחו על שולחן הכנסת,
,,מיקי לוי,,"היו""ר","חברי הכנסת, היום ט' באייר התשפ""ב, 10 במאי 2022. אני מתכבד לפתוח את מליאת הכנסת.הודעה למזכיר הכנסת, בבקשה.",מסמכים שהונחו על שולחן הכנסת,
,,דן מרזוק,,מזכיר הכנסת,"ברשות יושב-ראש הכנסת, אני מתכבד להודיעכם, כי הונח היום על שולחן הכנסת דוח שנתי של מבקר המדינה 72ג. תודה.",מסמכים שהונחו על שולחן הכנסת,
,,מיקי לוי,,"היו""ר",תודה רבה.,נאומים בני דקה,
,,מיקי לוי,,"היו""ר","חברי הכנסת שמעוניינים לנאום נאומים בני דקה, בבקשה להצביע. עד שתוגש הרשימה – חבר הכנסת בוסו, בבקשה, דקה לרשותך.",נאומים בני דקה,
,,אוריאל בוסו,"ש""ס",,"אדוני היושב-ראש, ברשותך, אני רוצה להתייחס היום להקלטה בכתבה שפורסמה בידיעות אחרונות על דבריו הבוטים של מנכ""ל רכבת ישראל מר מיכאל מייקסנר כנגד הציבור החרדי ביום הלווייתו של מרן הרב קניבסקי, בסגנון של ""דוסים"", כמובן תוך החפצה ושימוש בנשים: העמדנו שם שתי נשים בשביל להרחיק אותם, את הדוסים, מהפסים. בהתחלה הוא אמר שיצאו דברים מהקשרם, וכשיצאה ההקלטה הבינו שזה לא ""מהקשרם"" אלא אלה הביטויים החמורים שלו.אני לא מקבל את ההתנצלות שלו מסיבה אחת: כנראה שזו הרוח ששורה שם. הוא, לדעתי, חייב להיות מוזמן לשימוע ואף להסתלק מן התפקיד. התופעה הזאת, שפעם אחר פעם מעיזים, ועוד אנשי ציבור שמתפרנסים מאותה אוכלוסייה שמשתמשת וצורכת את השירותים שלהם, ולאחר מכן מתנצלים – זה לא מתקבל על הדעת. והגרוע ביותר – עד לרגע זה לא שמענו שום הודעה של שרת התחבורה, כמי שמגינה על נשים – ולא רק, כמי שאמונה, אחראית לרכבת ישראל ולמנכ""ל – שום הודעה וגינוי בנושא הזה עד לרגע זה. תודה רבה.",נאומים בני דקה,
,,מיקי לוי,,"היו""ר",תודה רבה. חבר הכנסת רז.,נאומים בני דקה,
,,מוסי רז,מרצ,,"אני רוצה להצטרף לדברים של חבר הכנסת בוסו, אבל ביקשתי לדבר על נושא אחר. היום מציינים בכנסת את יום זכויות העובדים, ואני רוצה להקריא עדות של אזרח ישראלי במסגרת המאבק להעלאת שכר המינימום: אני, ירון בן צבי, בן 52, גר בחריש, נשוי עם שני ילדים בוגרים, סטודנטים, ושלושה ילדים צעירים, אחד מהם עם צרכים מיוחדים. אני עובד במשרה מלאה במפעל לייצור והמשכורת שלי מגיעה ל-6,300 ש""ח ברוטו לחודש – מעל שכר המינימום. אשתי עובדת ב-75% משרה ולא מגיעה אפילו ל-5,000 ש""ח נטו לחודש. עם המשכורת של שנינו אנחנו בקושי שורדים, בפרט כשיש הוצאות מיוחדות על טיפולים ותרופות.אני מתנהל בלי כרטיס אשראי כי ביטלו לי אותו – זה, אגב, דבר שצריך לעבור מהעולם, ביטול כרטיסי אשראי; לא טוב להתנהל במזומן, רע מכל סיבה שהיא: בטיחותית, פלילית, סביבתית, מה שתרצו. מכרתי את הקטנוע כדי לחסוך בהוצאות, עברנו לחריש כדי להוריד את דמי השכירות, ועדיין אין לי לתת לילדיי אפילו דמי כיס, שלא לדבר על עזרה כספית בלימודים או בילויים. בגילי אני לא יכול אפילו לדמיין שיהיה לי מספיק הון עצמי כדי לקחת משכנתה ולקנות דירה. הדרך היחידה שלי להגדיל את ההכנסה היא לעבוד שעות נוספות. זה קשה במיוחד כשיש ילדים קטנים ועוד עם צרכים מיוחדים שצריכים אותי בבית.השכר שלנו לא מספיק להוצאות שוטפות, שלא לדבר על חריגות. איזו תקווה המדינה נותנת לאנשים עובדים ובעלי משפחות כמונו? כל שנותר לנו הוא להיאחז במאבק המשותף של כולנו, ולכן אני תומך ופעיל במאבק להעלאת שכר המינימום ל-40 שקל לשעה.",נאומים בני דקה,
,,מיקי לוי,,"היו""ר","תודה רבה. חבר הכנסת טופורובסקי, בבקשה.",נאומים בני דקה,
,,בועז טופורובסקי,יש עתיד,,"תודה. אדוני היושב-ראש, חבריי חברות וחברי הכנסת, כמו שאמרתי וכפי שהתחייבתי מהיום הראשון שאני בכנסת, לא משנה באיזה תפקיד, אני אמשיך במסורת החשובה מאוד של להקריא בכל שבוע את תאונות הדרכים הקטלניות ופרטי ההרוגים שנהרגו בדרכים, ולצערי השבוע היה שבוע איום ונורא.ביום שלישי 3 במאי, נהרגה צעירה בת 37 בדרך הדמים, כביש 25 סמוך לבאר שבע. בהמשך היום, בתאונה מחרידה עם מעורבות משאית, בערב יום הזיכרון, סמוך לאשדוד, נהרגו שלושה אנשים: ציפי שמעוני, בת 38, אם לעשרה ילדים; מתניה איובי, בן 30, אב לשלושה ילדים; פנטנש אובנך מקריית מלאכי, אם לשמונה, בת 40. ביום שישי 6 במאי, נהרג צעיר בן 17 בכביש 6 סמוך למחלף מירון. עוד באותו היום נהרג רוכב אופנוע, צעיר בן 22, בכביש 4374, סמוך למחלף אלמוג. דרך אגב, באותו היום גם הייתה אזכרה לאחותי, שנהרגה גם היא בתאונת אופנוע. למוחרת, 7 במאי, נהרג עוד רוכב אופנוע, צעיר בן 27, בכביש 44, סמוך ליישוב כרמי יוסף. באותו היום נהרג רוכב אופניים חשמליים בן 30 בכביש 44, סמוך לבית דגן. אתמול, 9 במאי, נהרג רוכב אופנוע נוסף, בן 22, בכביש 805 סמוך לסח'נין. היום, בזמן שכתבתי את הנאום, קיבלנו הודעה שנהרג פעוט בן שנתיים על ידי משאית ברחוב אבא הלל סילבר בלוד. זה פשוט עצוב וכואב.אדוני היושב-ראש, 11 בני אדם נהרגו בכבישי ישראל בשבוע האחרון; 62 בני אדם נהרגו מאז יצאה הכנסת לפגרה, מאז הפעם האחרונה שעמדתי כאן וקראתי. 62 איש בפחות מחודשיים. 130 הרוגים בכבישי ישראל מפתיחת השנה. אנחנו מדברים על פיגועים, וכל פיגוע הוא איום ונורא, מדברים על לסגור גדרות במיליארדים, אבל המלחמה בתאונות הדרכים – חייבים להבין שכל יום נהרגים אנשים, מוות מיותר, בלי ערך, בלי סיבה, נהרגים סתם, וזה בידיים שלנו להציל אותם. לכן אני לא אוותר ולא אנוח עד שאנחנו נפתור את כל הבעיות, כל בעיות הבטיחות בדרכים, ונתייחס לזה כאל מלחמה. תודה.",נאומים בני דקה,
