knesset,session,speaker,party,role,text,subject,sub_subject
,,,,,"דברי הכנסתכח / מושב שני / ישיבות קל""ב–קל""ד /כ""ב–כ""ד באייר התשפ""ב / 23–25 במאי 2022 / 28חוברת כ""חישיבה קל""ב",מסמכים שהונחו על שולחן הכנסת,
,,יבגני סובה,,"היו""ר","צוהריים טובים לכולם. אני מתכבד לפתוח את ישיבת הכנסת. היום כ""ב באייר התשפ""ב, 23 במאי 2022.קודם כול, הודעה של מזכיר הכנסת, בבקשה.",מסמכים שהונחו על שולחן הכנסת,
,,דן מרזוק,,מזכיר הכנסת,"ברשות יושב-ראש הישיבה, אני מתכבד להודיעכם, כי הונחו היום על שולחן הכנסת –לדיון מוקדם – החל מהצעת חוק פ/3800/24 וכלה בהצעת חוק פ/3857/24: הצעת חוק הסיוע המשפטי (תיקון – סיוע משפטי לתובע בגין הפליה), התשפ""ב–2022, מאת חברת הכנסת מיכל שיר סגמן; הצעת חוק בתי הדין הדתיים הדרוזיים (תיקון – הענקת סמכויות לבתי הדין הדתיים הדרוזיים בנושאים כרוכים), התשפ""ב–2022, מאת חבר הכנסת מכלוף מיקי זוהר; הצעת חוק הגנת הצרכן (תיקון – מענה אנושי חינם ללקוחות חברות התעופה), התשפ""ב–2022, מאת חבר הכנסת רון כץ; הצעת חוק הביטוח הלאומי (תיקון – תשלום דמי אבטלה לנשים שיצאו לחופשה ללא תשלום לאחר לידה מסיבות מוצדקות), התשפ""ב–2022, מאת חברת הכנסת מיכל וולדיגר; הצעת חוק הבטחת הכנסה (תיקון – שלילת גמלה בגלל פעולת טרור), התשפ""ב–2022, מאת חבר הכנסת משה ארבל; הצעת חוק משק החשמל (תיקון – איסור ניתוק חשמל), התשפ""ב–2022, מאת חברי הכנסת אחמד טיבי ואוסאמה סעדי; הצעת חוק משק החשמל (תיקון – איסור ניתוק חשמל), התשפ""ב–2022, מאת חברת הכנסת אורלי לוי אבקסיס; הצעת חוק משק החשמל (תיקון – איסור ניתוק חשמל), התשפ""ב–2022, מאת חברת הכנסת גבי לסקי; הצעת חוק הביטוח הלאומי (תיקון – העלאת קצבת הילדים), התשפ""ב–2022, מאת חברי הכנסת יעקב ליצמן, משה גפני ויואב בן צור; הצעת חוק ניירות ערך (תיקון – חובת דיווח על תמיכות סביבתיות), התשפ""ב–2022, מאת חברי הכנסת אימאן ח'טיב יאסין, מנסור עבאס, מאזן גנאים ווליד טאהא; הצעת חוק הכנסת (תיקון – אישור מליאת הכנסת לפרישה מסיעה), התשפ""ב–2022, מאת חברי הכנסת שלמה קרעי, יוסף טייב, עידית סילמן, אורלי לוי אבקסיס, מאיר פרוש, גלית דיסטל אטבריאן וישראל אייכלר; הצעת חוק-יסוד: הכנסת (תיקון – הצהרת אמונים), מאת חבר הכנסת אלי כהן; הצעת חוק מס ערך מוסף (תיקון – מס בשיעור אפס על תרופות), התשפ""ב–2022, מאת חבר הכנסת עלי סלאלחה; הצעת חוק התכנון והבנייה (תיקון – ייצוג הולם לאוכלוסייה החרדית והערבית במוסדות התכנון), התשפ""ב–2022, מאת חבר הכנסת יעקב אשר; הצעת חוק לתיקון פקודת מס הכנסה (שווי השימוש ברכב או ברדיו טלפון נייד), התשפ""ב–2022, מאת חבר הכנסת אלי כהן; הצעת חוק להגדלת שיעור ההשתתפות בכוח העבודה ולצמצום פערים חברתיים (מענק עבודה) (תיקון – פטור מהשבת מענקים להתמודדות עם השלכות נגיף הקורונה), התשפ""ב–2022, מאת חברי הכנסת קרן ברק, אוריאל בוסו, יולי יואל אדלשטיין, אוסאמה סעדי, איימן עודה, סמי אבו שחאדה, אחמד טיבי ומיכאל מלכיאלי; הצעת חוק לתיקון פקודת התעבורה (ריבית פיגורים בגין אי-תשלום קנס על עבירת חניה), התשפ""ב–2022, מאת חברי הכנסת אלינה ברדץ' יאלוב, יבגני סובה, יוליה מלינובסקי, אלכס קושניר, יוסף שיין ולימור מגן תלם; הצעת חוק הרשות לקידום מעמד האישה (תיקון – הרשות לקידום שוויון מגדרי), התשפ""ב–2022, מאת חברת הכנסת עאידה תומא סלימאן; הצעת חוק איסור הפליה במוצרים, בשירותים ובכניסה למקומות בידור ולמקומות ציבוריים (תיקון – פגיעה באמונה דתית), התשפ""ב–2022, מאת חברת הכנסת אורית מלכה סטרוק; הצעת חוק-יסוד: הממשלה (תיקון – ביטול מנגנון החילופין שלא במועד החילופין הקבוע), מאת חבר הכנסת שמחה רוטמן; הצעת חוק הקפאת כספים ששילמה הרשות הפלסטינית בזיקה לטרור מהכספים המועברים אליה מממשלת ישראל (תיקון – חילוט הכספים וניהולם), התשפ""ב–2022, מאת חברי הכנסת אבי דיכטר, יריב לוין, יולי יואל אדלשטיין, יואב קיש, אוריאל בוסו, יוסף טייב, אורית מלכה סטרוק, מיכל וולדיגר, יעקב אשר, מיכאל מלכיאלי וקטי קטרין שטרית; הצעת חוק להגדלת שיעור ההשתתפות בכוח העבודה ולצמצום פערים חברתיים (מענק עבודה) (תיקון – הוראות לעניין השבת תשלום ביתר של מענקים להתמודדות עם השלכות נגיף הקורונה), התשפ""ב–2022, מאת חברת הכנסת מיכל שיר סגמן; הצעת חוק המוזיקה הישראלית, התשפ""ב–2022, מאת חברי הכנסת אבתיסאם מראענה, צבי האוזר, משה טור פז, טטיאנה מזרסקי, אמילי חיה מואטי, גלעד קריב, מוסי רז, מופיד מרעי, נעמה לזימי, ולדימיר בליאק, רם שפע, מיכל רוזין, זאב בנימין בגין ואפרת רייטן מרום; הצעת חוק הגנת הצרכן (תיקון – הפרה בנסיבות מחמירות), התשפ""ב–2022, מאת חברת הכנסת לימור מגן תלם; הצעת חוק העונשין (תיקון – איסור שימוש בדגל או בסמל של ישות האויב), התשפ""ב–2022, מאת חברת הכנסת קרן ברק; הצעת חוק הדיור הציבורי (זכויות רכישה) (תיקון – הארכת תוקף), התשפ""ב–2022, מאת חברי הכנסת גבי לסקי, אורלי לוי אבקסיס, מיכאל מרדכי ביטון, יעקב מרגי, אלי כהן ונעמה לזימי; הצעת חוק פתיחת קבר של קטין יוצא תימן, המזרח או הבלקן לשם זיהוי ועריכת בדיקה גנטית לקשר משפחה (הוראת שעה) (תיקון – הארכת תוקף הוראת השעה ואישור בקשה מטעמים מיוחדים), התשפ""ב–2022, מאת חברת הכנסת נעמה לזימי; הצעת חוק-יסוד: הכנסת (תיקון – מניעת השתתפות של תומכי חרם בישראל בבחירות), מאת חבר הכנסת אלי כהן; הצעת חוק לתיקון פקודת העיריות (קבלת מידע מהמרשם הפלילי) (הוראת שעה), התשפ""ב–2022, מאת חברת הכנסת גבי לסקי; הצעת חוק תכנון משק החלב (תיקון – ביטול החוק), התשפ""ב–2022, מאת חבר הכנסת שמחה רוטמן; הצעת חוק התכנון והבנייה (תיקון – ייצוג הולם לאוכלוסייה החרדית במוסדות התכנון), התשפ""ב–2022, מאת חבר הכנסת יעקב אשר; הצעת חוק הפיקוח על מעונות יום לפעוטות (תיקון – החמרת ענישה), התשפ""ב–2022, מאת חבר הכנסת מכלוף מיקי זוהר; הצעת חוק אומנה לילדים (תיקון – הזכות לחינוך לילדים בהשמה חוץ-ביתית), התשפ""ב–2022, מאת חבר הכנסת משה טור פז; הצעת חוק לתיקון פקודת העיריות (ייצוג הולם בשמות מקומות ציבוריים), התשפ""ב–2022, מאת חברת הכנסת אפרת רייטן מרום; הצעת חוק הירושה (תיקון – שלילת הזכות לירושה), התשפ""ב–2022, מאת חבר הכנסת שמחה רוטמן; הצעת חוק הנוער (טיפול והשגחה) (תיקון – טיפול בבריחה ממשמורת), התשפ""ב–2022, מאת חברות הכנסת אפרת רייטן מרום ומיכל וולדיגר; הצעת חוק להסדרת שיווק והפצה של תרכובות מזון לתינוקות במוסדות הבריאות, התשפ""ב–2022, מאת חברת הכנסת אמילי חיה מואטי; הצעת חוק העונשין (תיקון – אלימות במשפחה בנוכחות קטין או חסר ישע), התשפ""ב–2022, מאת חברת הכנסת קרן ברק; הצעת חוק העונשין (תיקון – קנס על החזקת נשק בלתי חוקי), התשפ""ב–2022, מאת חבר הכנסת מיכאל מרדכי ביטון; הצעת חוק זכויות נפגעי עבירה (תיקון – זכויות נפגעי פעולות איבה), התשפ""ב–2022, מאת חברת הכנסת שרן מרים השכל; הצעת חוק-יסוד: ישראל – מדינת הלאום של העם היהודי (תיקון – שוויון ברוח עקרונות הכרזת העצמאות של מדינת ישראל), מאת חברי הכנסת יוסף שיין, יבגני סובה, יוליה מלינובסקי, אלכס קושניר, לימור מגן תלם ואלינה ברדץ' יאלוב; הצעת חוק התכנון והבנייה (תיקון – תסקירי השפעה על הסביבה ועל הבריאות), התשפ""ב–2022, מאת חברי הכנסת עופר כסיף, אחמד טיבי, עאידה תומא סלימאן ואוסאמה סעדי; הצעת חוק המועצה לייצור ולשיווק של אגוזי אדמה (תיקון – ביטול החוק), התשפ""ב–2022, מאת חבר הכנסת שמחה רוטמן; הצעת חוק-יסוד: הממשלה (תיקון – הגבלת תקופת כהונה), מאת חברת הכנסת מיכל שיר סגמן; הצעת חוק מימון מפלגות (תיקון – שלילת מימון ממפלגה שקוראת להטלת חרם על מדינת ישראל), התשפ""ב–2022, מאת חבר הכנסת אלי כהן; הצעת חוק הבטחת הכנסה (תיקון – גמלה להורה עצמאי), התשפ""ב–2022, מאת חברי הכנסת אלכס קושניר, יבגני סובה, יוליה מלינובסקי, יוסף שיין, לימור מגן תלם ואלינה ברדץ' יאלוב; הצעת חוק שיפוט בתי דין דתיים (בוררות), התשפ""ב–2022, מאת חבר הכנסת שמחה רוטמן; הצעת חוק הליכי חקירה והעדה (התאמה לאנשים עם מוגבלות שכלית או נפשית) (תיקון – מנגיש צדק), התשפ""ב–2022, מאת חברי הכנסת יוראי להב הרצנו, יסמין פרידמן, גלעד קריב, יצחק פינדרוס, שירלי פינטו קדוש, קטי קטרין שטרית, מיכל רוזין, נירה שפק, מופיד מרעי, מאי גולן ומיכל וולדיגר; הצעת חוק הסדרים במשק המדינה (תיקוני חקיקה להשגת יעדי התקציב) (תיקון – זכאות להנחה בארנונה בגין ילד נכה נוסף), התשפ""ב–2022, מאת חברי הכנסת אוריאל בוסו, מיכאל מלכיאלי, אוסאמה סעדי, מאי גולן, דוד ביטן, יואב קיש, ינון אזולאי, יצחק פינדרוס, שמחה רוטמן, חיים ביטון, אלי כהן, יעקב מרגי, מיכל וולדיגר, דסטה גדי יברקן, פטין מולא, יעקב אשר, יוסף טייב, אורי מקלב, משה אבוטבול, שלמה קרעי, יואב בן צור, סמי אבו שחאדה, עופר כסיף, אופיר סופר, דוד אמסלם, מכלוף מיקי זוהר, ניר ברקת ובצלאל סמוטריץ'; הצעת חוק התגמולים לנפגעי פעולות איבה (תיקון – זכאות לתגמולים ולפיצויים לפי חוק אחר), התשפ""ב–2022, מאת חברת הכנסת שרן מרים השכל; הצעת חוק הביטוח הלאומי (תיקון – דמי לידה לעצמאיות – מתן זכות לעבודה חלקית), התשפ""ב–2022, מאת חברי הכנסת גבי לסקי, מיכל רוזין, מוסי רז, ג'ידא רינאוי זועבי ועלי סלאלחה; הצעת חוק תמיכה במימון פעילות ארגון נכי צהל ובתי הלוחם, התשפ""ב–2022, מאת חברי הכנסת נירה שפק, ולדימיר בליאק וניר אורבך; הצעת חוק הכנסת (תיקון – אישור אמנות בין-לאומיות), התשפ""ב–2022, מאת חברי הכנסת שלמה קרעי, יוסף טייב, עידית סילמן ואורלי לוי אבקסיס; הצעת חוק האקלים, התשפ""ב–2022, מאת חברי הכנסת יוראי להב הרצנו, אלון טל, יסמין פרידמן, מוסי רז, נירה שפק, משה טור פז, ענבר בזק, סימון דוידסון, נעמה לזימי, מיכל רוזין, מופיד מרעי, מאזן גנאים, רם בן ברק, מירב בן ארי, מאי גולן, רם שפע, טטיאנה מזרסקי, אלי אבידר, אימאן ח'טיב יאסין, ולדימיר בליאק, עלי סלאלחה, עופר כסיף, בועז טופורובסקי ורון כץ; הצעת חוק תמיכה בביטחון תזונתי אצל תינוקות, התשפ""ב–2022, מאת חברת הכנסת אמילי חיה מואטי; הצעת חוק צוותי התערבות במשבר, התשפ""ב–2022, מאת חברת הכנסת מיכל וולדיגר; הצעת חוק הספורט (תיקון – הסדרת העיסוק באימון ספורט), התשפ""ב–2022, מאת חבר הכנסת מכלוף מיקי זוהר; הצעת חוק העונשין (תיקון – תקיפת עובד מערך בריאות), התשפ""ב–2022, מאת חברת הכנסת עידית סילמן.לקריאה ראשונה, מטעם הממשלה: הצעת חוק פסיקת ריבית והצמדה (תיקון מס' 9), התשפ""ב–2022; הצעת חוק ההוצאה לפועל (תיקון מס' 71) (ריבית ודמי פיגורים), התשפ""ב–2022; הצעת חוק שירותי רווחה לאנשים עם מוגבלות, התשפ""ב–2022; הצעת חוק להארכת תוקפן של תקנות שעת חירום (יהודה והשומרון – שיפוט בעבירות ועזרה משפטית), התשפ""ב–2022; הצעת חוק בתי דין רבניים (סדרי דין בעת מצב חירום מיוחד), התשפ""ב–2022; הצעת חוק איסור אלימות בספורט (תיקון מס' 3 והוראת שעה), התשפ""ב–2022. תודה.",מסמכים שהונחו על שולחן הכנסת,
,,יבגני סובה,,"היו""ר","לפני שאנחנו נעבור להצעות אי-אמון, אני רוצה להגיד שהיום יום חשוב לכנסת ישראל וגם למדינת ישראל. מי שתכבד אותנו ואת כנסת ישראל בנוכחותה זאת נשיאת הפרלמנט האירופי, גב' רוברטה מטסולה. הנאום שלה בפני הכנסת יהיה בשעה 18:00, וכך אנחנו נפעל בהתאם וגם סדר-היום שלנו יהיה בהתאם לנאום הזה.",2. ממשלה אכזרית כושלת כלכלית משבר דיור חסר תקדים – עלייה של 16% במחירי הדירות ועלייה של 40% במוצרי מזון,
,,יבגני סובה,,"היו""ר","רבותיי, אנחנו נעבור להצעות אי-אמון בממשלה. נתחיל מהצעת אי-אמון של סיעת הליכוד: איום הגרעין האיראני, משבר האקלים ויוקר המחיה – הצעה של סיעת הליכוד בהנהגת בנימין נתניהו לראשות הממשלה, ומי שתציג ותנמק את ההצעה – חברת הכנסת גילה גמליאל. בבקשה, חברת הכנסת גמליאל, עשר דקות, גברתי.",2. ממשלה אכזרית כושלת כלכלית משבר דיור חסר תקדים – עלייה של 16% במחירי הדירות ועלייה של 40% במוצרי מזון,
,,גילה גמליאל,הליכוד,,"תודה רבה. אדוני היושב-ראש, השרה, טוב, אני כבר רוצה לומר שאנחנו בקרוב מאוד נחגוג את מסיבת הסיום של ממשלת ישראל השלושים-ושש, ויש סיבה למסיבה בשביל זה, מסיבה לאזרחי מדינת ישראל על שנה, כמעט שנה, של מדיניות רופסת וכושלת של פוליטיקאים שהדבק היחיד שמחבר ביניהם הוא אותו דבק שמצמיד אותם לכיסא: תאוות השלטון במקרה הטוב, ובמקרה הרע – פשוט מחפיר לראות את מה שקורה כאן בכנסת הזאת. אתם הסכמתם למכור את מדינת ישראל, להרוס את ההישגים של 12 שנות תנופה ושגשוג של הליכוד בהובלת נתניהו, בתמורה למה? בתמורה לאינטרסים אישיים וצרים.פוליטיקאים מתעניינים כיצד תשפוט אותם התקשורת, אבל מנהיגים – הם מתעניינים כיצד תשפוט אותם ההיסטוריה. בשיעורי האזרחות של הדורות הבאים עוד ילמדו כיצד שחקתם ורמסתם את מעמד הכנסת הזו לטובת השרידות הפוליטית שלכם. קואליציה שרוב המפלגות שלה מורכבות מיושבי-ראש הממנים חברות וחברי כנסת הנתונים לחסדיהם – ברצותם יכהנו במשכן וברצותם ישבו בבית; בובות על חוטים שרק חשבו שיוכלו לבטא את האידיאולוגיה והערכים שלהם, עד שגילו שלכל שבת יש את שעה לפני כניסת שבת, ששם יוכלו להתבשר על סיום תפקידם.הקמפיינים שאתם הרצתם כל השנים מדברים נגד הדברים שאתם עושים בדיוק עכשיו. הגמישות המאוד-מרשימה שאתם מראים לכולנו יכולה לאתגר את לינוי אשרם ואפילו את נדיה קומנץ'. בממשלת הליכוד בראשות נתניהו הובלנו השקעה חסרת תקדים בחברה הערבית, ואני גאה על הזכות שהייתה לי כשרה לשוויון חברתי להוביל את תוכנית 922 עם 15 מיליארד שקלים שהושקעו בפיתוח היישובים, התחבורה, החינוך והרווחה.אנחנו השקענו בדרך רצינית ונכונה, בצורה רציונלית, בליווי אנשי מקצוע ויחד עם תוכנית אסטרטגית ויעדים שמשקפים מנהיגות וחזון. ואתם? בונים כאילו-תוכנית תקציבית, שתשרת רק את המטרות הפוליטיות שלכם. 2.4 מיליארד שקלים כספים קואליציוניים ליש עתיד. במקום להשקיע תקציב בצורה מסודרת, אתם מעבירים אותו בצורת שוחד פוליטי ומבצעים גנבת דעת של ציבור שלם. תוכנית שכאילו נועדה לחברה הערבית, כשהמטרה האמיתית שלה היא החבר'ה בממשלה. זועבי מאיימת בפרישה? אז תפנוקי לפיד כבר יפתרו את זה עם 200 מיליון שקלים לכל ראש עיר, אבל רק ראש עיר שמעניק תמיכה לחברת הכנסת זועבי. איפה הערים המעורבות, שלהן אתם לא נותנים דבר וחצי דבר? זה מה שקורה בממשלה שכל המהות שלה היא בסך הכול לשמר את השרידות של בנט כראש ממשלה.תקציבים, השקעות ותוכניות רציניות לא מעבירים במזנון הכנסת כדי להדביק בפלסטר את השברים שמאיימים למוטט את המבנה הפוליטי השערורייתי שיצרתם. אנחנו הפגנו אהבה ותמיכה בחברה הערבית; אתם לוקחים אותה ומנצלים אותה למטרות פוליטיות צרות.כסף פוליטי לראשי הערים של זועבי? יש; כסף למשלוחי וולט ממיטב המסעדות ברעננה? יש גם יש; כסף לבניית מבצר והשבחת הנכס של נפתלי בנט? ועוד איך יש. ולמי לא נשאר? לחיילים, ללוחמים וללוחמות שלנו, למיטב בנינו ובנותינו ששירתו את המדינה במאה אחוז ומגיע להם 100%, לא פחות, לא באמצע – 100 עגול. אבל ממשלה שמתעניינת רק בה ובעצמה תשמור את 50 מיליון השקלים, ורק 50 מיליון שקלים דרושים. הם ישמרו אותם למה? להשבחת הנכס, לשיפוצים, אבל לא למען הלוחמות והלוחמים ששומרים על כולנו.החלטתם כממשלה לא לתת 100% ללוחמות וללוחמים, בדיוק כפי שאתם בממשלה לא נותנים 100% לביטחון של אזרחי מדינת ישראל, שרבים מהם מעדיפים לא לצאת מהבית מחשש לעוד פיגוע. אתם יושבים לכם שם בלשכות בחיבוק ידיים, אובדי עצות וחסרי מנהיגות וחסרי אחריות, ובמקום לנקוט יוזמה ולהציג דרך ותוכנית למאבק בטרור, ישבתם ולא עשיתם כלום; לא שמעו דבר וחצי דבר לגבי איראן. ממשלת הדממה, שקט, לא לעשות כלום על מנת לא להכעיס חלילה מפלגות שהן אנטי-ציוניות איתכם בממשלה.בממשלה הלאומית בהובלת נתניהו אנחנו הובלנו קו נחוש ובלתי מתפשר נגד הטרור. יזמנו, פעלנו, שינינו וניצחנו. ואתם מה? ישבתם אובדי עצות וכבר התפללתם שייגמר כל ההיבט הזה של הטרור, בהמתנה, ומחכים שיעשו לכם את העבודה בעניין של איראן. לא עשיתם דבר וחצי דבר, ואחרי שהפקרתם את הביטחון הפקרתם גם את תחושת הביטחון.בנגב ייבחן העם בישראל, כך אמר בן-גוריון. אני לא רוצה לחשוב כמה פעמים כל מי שמאמינים בדרכו רואים איך אתם שותקים בכל ההקשר של מה שקורה היום באזור הנגב. אני מאמינה שהכול מתחיל ונגמר בחינוך. כיושבת-ראש אגודת הסטודנטים לשעבר באוניברסיטת בן-גוריון אני זוכרת איך הטמענו שם את ערכי אהבת המולדת, איך שיתפנו פעולה עם כל החברה הערבית ועם הבדואים שם, איך דאגנו לחזק את ארץ ישראל ואת החיבור ליהדות ולשורשים, חיזקנו את השייכות של הסטודנטים למדינת ישראל ואת האהבה לדגל ולסמלים הלאומיים שלנו. והיום – תחושת ניכור משוועת שגובלת באנטי-ציונות באוניברסיטה שקרויה על שמו של ראש הממשלה הראשון של המדינה שלנו.אסור לנו להסכים להמשכיות הזאת של המדיניות הכושלת הזו ושל הממשלה הכל-כך רעה הזו. אסור שסטודנטים יהודים יחששו ללכת בין דגלי פלסטין בקמפוס. אסור שדגל ישראל יישרף בהר הבית. אסור שאזרחיות יורידו משמשת הרכב את דגל ישראל לפני מעבר בצומת עם דגלי פלסטין. אותם חברי קואליציה שטוענים שהנפת הדגל, דגל ישראל, היא לא פחות מפרובוקציה, צריכים להתבייש בעצמם. אנחנו בליכוד לא נרכין ראש, לא נתבייש; נעמוד זקופים וגאים במי שאנחנו, מניפים את דגל הלאום של עמנו.הייתה לי הזכות לשרת את אזרחי ישראל כשרה להגנת הסביבה ולהוביל להישגים כבירים יחד עם ראש הממשלה לשעבר נתניהו ויועצת ראש הממשלה לזכויות בעלי חיים טל גלבוע. לצערי, אני רואה איך ההישגים שלנו נרמסים אחד אחרי השני במדיניות כושלת ומחפירה. לאחר שהצגתי לראשונה בישראל חוק אקלים שאפתני ומקיף, הגיעה השרה תמר זנדברג, ריסנה אותו והציגה כלום ושום דבר עטוף בנייר צלופן. כבוד השרה, את לא תעבדי עלינו. לא תמכרי לנו את השקרים ואת החוקים שאנחנו בנינו ואת הרסת. עם ישראל לא יסלח לך על שבחרת במהלך השנה האחרונה לעזור ולהיטיב עם בעלי ההון המזהמים. בחרת לעזור לחברות המשקאות ולמנוע מאזרחי ישראל למחזר כאשר עצרת את הצבת המכונות האוטומטיות של המחזור במרחב הציבורי. בחרת לנהל עם בתי הזיקוק במפרץ חיפה משא ומתן שערורייתי ומחפיר על תאריך הסגירה שלהם, ובלי בושה – לשאול אותם מתי נוח או לא נוח להם להפסיק לזהם. תושבי חיפה מסתכלים עלייך ומתביישים איך בחרת באינטרס הפרטי שלך על חשבון האינטרס הציבורי.אבל אל דאגה, אני אומרת לכם שתתחילו לראות כבר את הקץ של ממשלה כזאת רעה, את כל השנה שעכשיו עומדת להסתיים בצורה שבה הממשלה הזאת תלך הביתה. בקרוב אנחנו נחזור למדיניות נחושה של אפס סובלנות למזהמים, אפס סובלנות אליכם, ממשלה רעה.יש מעט חברי קואליציה שעדיין זוכרים את הערכים שמחנה הימין מתבסס עליהם. אותם חברים צריכים לשכוח את השיח האישי ואת החרמות המבישים שהובילו בשנה האחרונה ולהצטרף לממשלת ימין חזקה בראשות נתניהו. לטובת הכנסת, לטובת המדינה, לטובת העם, אנחנו מוכרחים להקים ממשלת ימין ולעצור את ההסתה המרושעת ואת השיח הרדוד והפוגעני. המנהיגים האמיתיים מבין אותם חברי קואליציה הם אלה שידעו להגיע עכשיו ולהגיד ""עד כאן"" ולעצור את הדרך לתהום שממשלת ישראל הנוכחית מובילה אותנו אליה.",2. ממשלה אכזרית כושלת כלכלית משבר דיור חסר תקדים – עלייה של 16% במחירי הדירות ועלייה של 40% במוצרי מזון,
,,יבגני סובה,,"היו""ר",נגמר הזמן.,2. ממשלה אכזרית כושלת כלכלית משבר דיור חסר תקדים – עלייה של 16% במחירי הדירות ועלייה של 40% במוצרי מזון,
,,גילה גמליאל,הליכוד,,"אני בטוחה שאותם חברים יתעשתו, יפסיקו את החרמות, יצטרפו אלינו לדרך, לערכים ולאידיאולוגיה שהובילו את מדינת ישראל במשך שנים רבות לעבר עוצמה ותנופה. יחד, בהובלת נתניהו, נצליח לתקן את מה שנהרס. יחד נצליח להחזיר את הגאווה של עם ישראל, עם אחד ומאוחד. נחזיר את מדינת ישראל למסלול, לדאוג לכלל אזרחי מדינת ישראל בצורה שוויונית ונכונה.אז מה שנשאר – – –",2. ממשלה אכזרית כושלת כלכלית משבר דיור חסר תקדים – עלייה של 16% במחירי הדירות ועלייה של 40% במוצרי מזון,
,,יבגני סובה,,"היו""ר",תודה. נגמר הזמן.,2. ממשלה אכזרית כושלת כלכלית משבר דיור חסר תקדים – עלייה של 16% במחירי הדירות ועלייה של 40% במוצרי מזון,
,,גילה גמליאל,הליכוד,,"אולי האחרונה תהיה השרה תמר זנדברג, שתישאר בממשלה הנוכחית. לא לשכוח לכבות את האור. תודה רבה.",2. ממשלה אכזרית כושלת כלכלית משבר דיור חסר תקדים – עלייה של 16% במחירי הדירות ועלייה של 40% במוצרי מזון,
