knesset,session,speaker,party,role,text,subject,sub_subject
,,איתן גינזבורג,,"היו""ר","דברי הכנסתחוברת כ""וישיבה קכ""חחברי הכנסת, אני מתכבד לפתוח את ישיבת הכנסת. היום יום רביעי, י' באייר התשפ""ב, 11 במאי 2022.נפתח בהודעה למזכיר הכנסת, בבקשה.",מסמכים שהונחו על שולחן הכנסת,
,,דן מרזוק,,מזכיר הכנסת,"ברשות יושב-ראש הישיבה, אני מתכבד להודיעכם, כי הונחו היום על שולחן הכנסת –לקריאה ראשונה, מטעם הממשלה: הצעת חוק הגנת הצרכן (תיקון מס' 63) (הפרה בנסיבות מחמירות), התשפ""ב–2022; הצעת חוק הטיס (תיקון מס' 4), התשפ""ב–2022; הצעת חוק התגמולים לנפגעי פעולות איבה (תיקון מס' 38) (היכל ההנצחה בהר הרצל), התשפ""ב–2022. תודה.",מסמכים שהונחו על שולחן הכנסת,
,,איתן גינזבורג,,"היו""ר",תודה למזכיר הכנסת.,שאילתות דחופות,
,,איתן גינזבורג,,"היו""ר","נעבור לשאילתות דחופות. יעלה ויבוא שר החקלאות ופיתוח הכפר, שישיב על שאילתה של חבר הכנסת עופר כסיף, שמספרה 132: התפרצות מגפת הפה והטלפיים. בבקשה, אדוני.",132. התפרצות מגפת הפה והטלפיים,
,,עופר כסיף,הרשימה המשותפת,,"תודה רבה, אדוני היושב-ראש. חברי הכנסת, אדוני השר, השאילתה היא על התפרצות מגפת הפה והטלפיים. אנו חווים מגפה בהיקפים שלא ידענו בעבר, ורצוני לשאול:1. כיצד מאושרות כניסות נוספות של אוניות משלוחים חיים?2. מדוע אין הקפדה על 21 ימים עד להשפעה מלאה של החיסון?3. מדוע חישוב ימי ההסגר אינו שמונה ימים כחוק? תודה.",132. התפרצות מגפת הפה והטלפיים,
,,עודד פורר,,שר החקלאות ופיתוח הכפר,"תודה לחבר הכנסת כסיף. 1. משלוחי מקנה המגיעים לישראל נכנסים למקומות הסגר הנמצאים מחוץ לאזורים הנגועים בפה והטלפיים, מחוסנים פעם אחת במקום ההסגר, ועוברים ממנו למשקים הנמצאים מחוץ לאזורים הנגועים.2. כניסת בעלי חיים לאזורים נגועים בפה וטלפיים אסורה עד גמר תקופת ההסגר. לא ניתנו עד כה כל הקלות בהכנסת בעלי חיים לתוך משקים באזורים נגועים. מדובר ב-28 ימים לפחות – 21 ימים מהחיסון הראשון ועוד שבעה ימים מהחיסון השני.3. החיסון הראשון ניתן במקום ההסגר בתום תקופת ההסגר. המקנה המיובא אינו עובר לאזורים נגועים אלא למשקים באזורים חופשיים מפה וטלפיים, ושם ניתן החיסון השני. רק משחלף הזמן המבטיח השפעה מלאה של החיסון ניתן אישור להעברתו לרשות הפלסטינית או למשק אחר, ובכל מקרה, כאמור, לא למשקים באזורים נגועים. 4. החוק מגדיר שמונה ימי הסגר, ולכן חישוב הימים כולל את יום הכניסה ויום היציאה כחוק.אתה תרצה לשאול עוד משהו, או שאני ארחיב על הנושא עצמו?",132. התפרצות מגפת הפה והטלפיים,
,,עופר כסיף,הרשימה המשותפת,,"אני אשמח שתרחיב, אבל אחר כך אולי אני גם אשאל. תלוי.",132. התפרצות מגפת הפה והטלפיים,
,,עודד פורר,,שר החקלאות ופיתוח הכפר,"הסיפור הזה של התפרצות מגפת הפה והטלפיים מלווה אותנו לאורך כל השנים. חשוב להדגיש, קודם כול, שאין פה סכנה לבני אדם. מאוד מאוד חשוב להדגיש את זה. כן נאמר שהשירותים הווטרינריים שלנו עושים עבודה מאוד מאוד משמעותית, בכלל כדי לשמור על בריאות הציבור בכל מה שנוגע למזון מן החי – אנחנו רואים את זה גם בהיבט של מקנה ובקר, אנחנו רואים את זה גם בהיבט של עופות ולולים. רק אתמול קיימנו דיון משמעותי בוועדת החינוך בנושא אופן החזקתן של התרנגולות בלולי ההטלה. אתמול גם פורסם אחר הצוהריים דוח מבקר המדינה, שפירט היטב, אני חושב, מדוע נדרשת הרפורמה שאני מוביל בענף הלול לטובת השדרוג של כל הענף הזה ולולי ההטלה, כדי שבאמת נשמור על בריאות הציבור.הרבה פעמים, לצערי, אנשים מסתכלים על כל הנושא הזה של מזון מן החי רק דרך פריזמה אחת, בין אם זה רק דרך הפריזמה של עלות המוצר או רק דרך הפריזמה של צער בעלי חיים באופן גידול התוצרת מן החי. צריך להבין שיש פה גם את הפריזמה של בריאות הציבור. אתה רואה את זה פעם אחת פה בנושא הזה של יבוא בקר מן החי. במובן הזה של יבוא מקנה אני נמצא בהליך בחינה של כל נושא יבוא המקנה למדינת ישראל. כל הנושא שקרוי אצל כולם ""המשלוחים החיים"" הוא נושא שאנחנו עוסקים בו.צריך להבין שמדינת ישראל לא יכולה לייצר את הבשר הנדרש עבור כל התצרוכת המקומית, אבל יש אפשרויות אחרות שיכולות לפחות לצמצם, עוד לפני שאנחנו עושים איזשהם תיקוני חקיקה. למשל, בלי לפגוע בבריאות הציבור, גם בראייה של מה קורה במקומות אחרים, תקנות היבוא של בשר מצונן. בשר מצונן – בכל העולם, מי שקובע את אורך חיי המוצר הוא היצרן, זאת אומרת, מי שמוכר. כך זה בכל המדינות המתוקנות, גם באירופה. אם אתה רוצה לייבא בשר מצונן לצרפת, למשל, אז תוקף אותו בשר הוא 120 ימים. משום מה, כאן משרד הבריאות בחר שהתוקף יהיה 85 ימים, על אותו בשר שמיובא לישראל. כאן זו דוגמה מצוינת איך את המחיר משלמים גם אזרחי ישראל, וגם צריך לייבא לכאן יותר מקנה, מה שמעלה את היקף המשלוחים החיים הללו. זו דוגמה אחת לשינוי רגולטורי פשוט שיכול לצמצם את משלוחי המקנה.יש כמובן הרבה מאוד פיתוחים אחרים, וחשוב להבין שגם בהם אנחנו משקיעים היום, בין אם זה נושא הבשר המתורבת – אני יכול לומר לך שאני זכיתי לבקר באחת מהחברות האלה ברחובות שבעצם מגדלות את הבשר מתא קיים, מה שמהווה פתרון מדהים גם לסוגיות סביבתיות, שכן חלק נכבד מזיהום האוויר מגיע בעצם מהבשר שמגודל לטובת חלב או אכילה – וגם כל הסוגיות של צער בעלי חיים. בסופו של יום עוד יגיעו הימים שנגדל את הסטייק שאנחנו אוכלים דווקא במעבדה. אני אגלה אפילו שיצא לי לטעום את הבשר הזה, שהוא בשר לכל דבר ועניין גם מבחינת המהות שלו. יש סוגיות אחרות. חברי הכנסת מש""ס ויהדות התורה – – –",132. התפרצות מגפת הפה והטלפיים,
,,איתן גינזבורג,,"היו""ר",השאלה היא אם הוא טעים.,132. התפרצות מגפת הפה והטלפיים,
,,עודד פורר,,שר החקלאות ופיתוח הכפר,"הוא טעים. יש עוד שאלה שאותה רציתי להעלות – האם הוא כשר, האם אתה יכול לאכול את הבשר הזה עם חלב, הרי הוא גודל מתרבית. גם כאן יש כאלה שכבר פסקו ככה, פסקו אחרת. אני מניח שעוד נשמע על הוויכוחים האלה. אבל הדבר המעניין הוא שמדינת ישראל בתחום הזה של הפודטק היא באמת מהמובילות בעולם. כשאתה בודק כמה יוזמות בתחום הזה של פודטק יש פר נפש במדינת ישראל, אנחנו נמצאים במקומות הראשונים. וזה אחד הנושאים הכי דרמטיים לאנושות כולה מבחינת מציאת פתרונות, איך ומה יאכלו בני אדם. אנחנו מובילים היום גם את הרפורמה בחקלאות שהמשמעות שלה היא לעודד את החקלאים לעבור לגידולים שהם יותר כלכליים, וזה נוגע גם בזה. באותו ביקור, אדוני היושב-ראש, אני גם אכלתי המבורגר מודפס מהצומח באחת החברות האלה, שהדפיסו אותו במדפסת תלת-ממד.",132. התפרצות מגפת הפה והטלפיים,
