knesset,session,speaker,party,role,text,subject,sub_subject
,,,,,"דברי הכנסתכז / מושב שני / ישיבות קכ""ט–קל""א /ט""ו–י""ז באייר התשפ""ב / 16–18 במאי 2022 / 27חוברת כ""זישיבה קכ""ט",מסמכים שהונחו על שולחן הכנסת,
,,מיקי לוי,,"היו""ר","היום ט""ו באייר התשפ""ב, 16 במאי 2022. אני מתכבד לפתוח את מליאת הכנסת.עם פתיחת המליאה אני שמח לברך את הסטודנטים מהמרכז האקדמי רופין שלומדים לתואר שני במינהל עסקים בתחום מנהיגות, ניהול ואסטרטגיה בראשות שר האוצר לשעבר מאיר שטרית. לקראת סוף שנת הלימודים האקדמית, בשמי ובשם הכנסת, אני מאחל לכם הצלחה. ברוכים הבאים.הודעה למזכיר הכנסת, בבקשה.",מסמכים שהונחו על שולחן הכנסת,
,,דן מרזוק,,מזכיר הכנסת,"ברשות יושב-ראש הכנסת, אני מתכבד להודיעכם, כי הונחו היום על שולחן הכנסת –הצעות חוק לדיון מוקדם – החל בהצעת חוק פ/3771/24 וכלה בהצעת חוק פ/3798/24: הצעת חוק לתיקון פקודת העיריות (ראש האופוזיציה), התשפ""ב–2022, מאת חברי הכנסת נעמה לזימי ורון כץ; הצעת חוק לתיקון פקודת מס הכנסה (שינוי הקריטריונים ליישוב מוטב), התשפ""ב–2022, מאת חבר הכנסת מכלוף מיקי זוהר; הצעת חוק זכויות הסטודנט (תיקון – הכרה בדור ראשון להשכלה גבוהה), התשפ""ב–2022, מאת חברת הכנסת אמילי חיה מואטי; הצעת חוק הפיקוח על מעונות יום לפעוטות (תיקון – הסמכת מתנדבים וטכנאי מצלמות), התשפ""ב–2022, מאת חבר הכנסת אופיר כץ; הצעת חוק ההתיישנות (תיקון – הרחבת הגדרת בן משפחה לעניין תקופת ההתיישנות של תביעה בשל תקיפה מינית או התעללות), התשפ""ב–2022, מאת חברת הכנסת מיכל רוזין; הצעת חוק שירות המדינה (מינויים) (תיקון – מינוי יועצים משפטיים של משרדים), התשפ""ב–2022, מאת חבר הכנסת אמיר אוחנה; הצעת חוק הזדמנות שווה בחינוך היסודי וביטול ההפליה (תיקוני חקיקה), התשפ""ב–2022, מאת חברי הכנסת איימן עודה, עאידה תומא סלימאן ועופר כסיף; הצעת חוק נכסים של נספי השואה (השבה ליורשים והקדשה למטרות סיוע והנצחה) (תיקון – הארכת תקופת הביניים והחלת הוראות נוספות), התשפ""ב–2022, מאת חברת הכנסת מיכל שיר סגמן; הצעת חוק סל מזון בריא – פיקוח על מחירים, שיווק וסבסוד, התשפ""ב–2022, מאת חברת הכנסת נעמה לזימי; הצעת חוק סיוע לצעירים חסרי עורף משפחתי, התשפ""ב–2022, מאת חברות הכנסת מירב בן ארי ונירה שפק; הצעת חוק דמי מחלה (היעדרות בשל מחלת ילד) (תיקון – מחלה קשה), התשפ""ב–2022, מאת חברת הכנסת אורלי לוי אבקסיס; הצעת חוק בתי המשפט (תיקון – בעל דין טרדן), התשפ""ב–2022, מאת חברי הכנסת ינון אזולאי ומשה ארבל; הצעת חוק המידע הפלילי ותקנת השבים (תיקון – מחיקת רישום פלילי לשורדות זנות), התשפ""ב–2022, מאת חברת הכנסת אמילי חיה מואטי; הצעת חוק להגבלת הוראות ההיתרים לעריכת הגרלות והימורים מאת שר האוצר (הוראת שעה), התשפ""ב–2022, מאת חבר הכנסת ינון אזולאי; הצעת חוק לתיקון פקודת מס הכנסה (ניכוי ריבית על משכנתה וסיוע ברכישת דירה), התשפ""ב–2022, מאת חברי הכנסת איימן עודה, עאידה תומא סלימאן ועופר כסיף; הצעת חוק בתי המשפט (תיקון – צילום בבית המשפט), התשפ""ב–2022, מאת חברי הכנסת איתן גינזבורג, יריב לוין, אפרת רייטן מרום, צבי האוזר, משה ארבל, מירב בן ארי, קרן ברק, שמחה רוטמן, בועז טופורובסקי וענבר בזק; הצעת חוק ביטוח בריאות ממלכתי (תיקון – קלנועית לאנשים עם נכויות סומטיות), התשפ""ב–2022, מאת חברת הכנסת אבתיסאם מראענה; הצעת חוק צער בעלי חיים (הגנה על בעלי חיים) (תיקון – איסור יצוא בעלי חיים לשחיטה לשם שימוש בעורותיהם לתעשיית הקוסמטיקה), התשפ""ב–2022, מאת חברת הכנסת יסמין פרידמן; הצעת חוק מס ערך מוסף (תיקון – מס בשיעור אפס על תרכובת מזון לתינוקות), התשפ""ב–2022, מאת חברת הכנסת אמילי חיה מואטי; הצעת חוק הביטוח הלאומי (תיקון – תשלום גמלאות מתקציב מערכת בתי המשפט), התשפ""ב–2022, מאת חברי הכנסת שמחה רוטמן, משה ארבל, אופיר סופר, יולי יואל אדלשטיין, אורית מלכה סטרוק, מיכל וולדיגר, דוד אמסלם, קרן ברק, דוד ביטן, אוריאל בוסו, פטין מולא ויואב קיש; הצעת חוק לעידוד חקלאות גגות (תיקוני חקיקה), התשפ""ב–2022, מאת חברי הכנסת אורי מקלב, יצחק פינדרוס, יעקב אשר ומשה גפני; הצעת חוק איסור פרסום זמני של מתקפת סייבר, התשפ""ב–2022, מאת חברת הכנסת מירב בן ארי; הצעת חוק משפחות חיילים שנספו במערכה (תיקון – יתומי צה""ל), התשפ""ב–2022, מאת חבר הכנסת פטין מולא; הצעת חוק לתיקון פקודת מס הכנסה (פטור ממס על הכנסה ממעשה זנות), התשפ""ב–2022, מאת חברת הכנסת אמילי חיה מואטי; הצעת חוק קליטת חיילים משוחררים (תיקון – הוקרת שירות הלוחם והלוחמת), התשפ""ב–2022, מאת חברת הכנסת מירב בן ארי; הצעת חוק למניעת העסקה של עובד הוראה התומך בטרור, התשפ""ב–2022, מאת חברת הכנסת שרן מרים השכל; הצעת חוק הביטוח הלאומי (תיקון – קביעת דרגת נכות לנפגעי עבודה), התשפ""ב–2022, מאת חברת הכנסת מיכל וולדיגר; הצעת חוק החולה הנוטה למות (תיקון – העדפות טיפוליות), התשפ""ב–2022, מאת חברי הכנסת גבי לסקי ואלון טל.עוד אודיעכם כי על פי סעיף 96(ד) לתקנון הכנסת, משחדל חבר הכנסת יום טוב כלפון לכהן בכנסת ביום י""ד באייר התשפ""ב, 15 במאי 2022, נמחק שמו מהצעות חוק שהיה שותף להן עם מציעים אחרים. כמו כן, הצעות חוק שמספרן פ/2282/24, פ/2664/24, פ/3011/24, פ/3276/24, פ/3247/24, פ/3320/24 ו-פ/3770/24, שהוגשו מטעמו כמציע יחיד, הוסרו מסדר-היום.עוד הונחו על שולחן הכנסת מסקנות ועדת החוץ והביטחון בעקבות דיון מהיר בהצעתם של חברי הכנסת אלי כהן ואיתמר בן גביר בנושא: פרצת הטיולים – פלסטינים מסיירים בישראל ללא פיקוח. עד כאן.",מסמכים שהונחו על שולחן הכנסת,
,,מיקי לוי,,"היו""ר",תודה רבה למזכיר הכנסת.,נאומים בני דקה,
,,מיקי לוי,,"היו""ר","המשך סדר-היום – נאומים בני דקה. כל חבר כנסת המעוניין, נא להצביע, בבקשה. תודה רבה. שבעה חברי כנסת. עד שהרשימה תונח לפניי אני מניח שחבר הכנסת מעוז הצביע. בבקשה, תהיה ראשון הדוברים.",נאומים בני דקה,
,,אבי מעוז,הציונות הדתית,,"תודה, אדוני היושב-ראש. נאום הנדסת תודעה מס' 51, והפעם על הטייס המהנדס.השר המתפטר כהנא מצליח לייצר הנדסת תודעה בקצב של תותח וולקן. ביום חמישי הוא צייץ על מנסור עבאס שהוא קול אמיץ וחדש. זה אותו עבאס שכהנא קרא לו ולחבריו לפני שנה תומכי טרור ומחבקי מחבלים. אתמול הוא אמר שחבר הכנסת לשעבר יום טוב כלפון לא הודח אלא הבין את הצורך בהזזתו כדי שכהנא ייכנס במקומו. כלפון אכן לא הודח, הוא הוקרב בשביל הכיסא של בנט. עד כמה אפשר לזלזל באינטליגנציה של הציבור עם אמירות הזויות כאלה? והבוקר אמר כהנא שהממשלה עושה טיפול שורש רציני במשילות בנגב. לקרוא לחלוקת הארץ, למכירת הנגב ולהכשרת הבנייה הבלתי-חוקית ""טיפול שורש רציני"" זה שיא הנדסת התודעה. אני ממליץ לשר המתפטר כהנא ולחבריו להפנים את גודל המשבר והנזק שהם גרמו ולפרק בהקדם את הממשלה הרעה הזאת. תודה.",נאומים בני דקה,
,,מיקי לוי,,"היו""ר","תודה רבה. חבר הכנסת אמסלם, בבקשה.",נאומים בני דקה,
,,דוד אמסלם,הליכוד,,"אדוני היושב-ראש, חברי הכנסת, אתמול שמענו את שר הביטחון גנץ מיילל מדוע בנט לא נותן לו קרדיט בנושא ביטחון. מה משיב לו בנט? הוא אומר לו: בפייסבוק אני נותן לך קרדיט. ואז שואל שר הביטחון: מה, אני שר הרווחה?מר גנץ, להיות שר הרווחה זה לא בושה. מה, אתה לועג לשר כהן? הלוואי שהיית יכול להיות שר הרווחה. אני מבין שמבחינתך שר הרווחה כהן זה המזרחי המושתל כרגע, מה שנקרא המזרחי התורן שנמצא על המשבצת המזרחית. אתה לא מתבייש? בושה וכלימה. אז תדע לך שאני באופן אישי גאה בשר הרווחה היום, מר כהן, ואני חושב שאתה צריך להתנצל בפניו ובפני כל עם ישראל. לא בושה להיות שר הרווחה, זו גאווה גדולה. ובזה מתעסקת הממשלה ההזויה הזאת.",נאומים בני דקה,
,,מיקי לוי,,"היו""ר","תודה רבה. חברת הכנסת לסקי, בבקשה.",נאומים בני דקה,
,,קטי קטרין שטרית,הליכוד,,"לפחות שר הרווחה עובד. עושה את התפקיד שלו כמו שצריך, להבדיל מראש הממשלה.",נאומים בני דקה,
