knesset,session,speaker,party,role,text,subject,sub_subject
,,,,,"דברי הכנסתחוברת כ""זישיבה קל""א",שאילתות דחופות,
,,יבגני סובה,,"היו""ר","בוקר טוב לכולם. אני פותח את ישיבת הכנסת. היום י""ז באייר התשפ""ב, 18 במאי 2022.אנחנו נתחיל בסדר-היום. הנושא הראשון בסדר-היום – שאילתה לשר האוצר, בנושא: דוח פערי השכר המגדריים, של חברת הכנסת גבי לסקי. בבקשה, חברת הכנסת גבי לסקי, שאלות, והשר במשרד האוצר ישיב.",135. דוח פערי השכר המגדריים,
,,גבי לסקי,מרצ,,"כבוד היושב-ראש, כבוד השר.",135. דוח פערי השכר המגדריים,
,,יבגני סובה,,"היו""ר",רק שנייה. בואי נחכה שכבוד השר יעלה.,135. דוח פערי השכר המגדריים,
,,גבי לסקי,מרצ,,סליחה.,135. דוח פערי השכר המגדריים,
,,יבגני סובה,,"היו""ר","בבקשה, כבוד השר.",135. דוח פערי השכר המגדריים,
,,גבי לסקי,מרצ,,"תמיד אתה מקצר אותי, אז אני לא שמתי לב. סליחה, כבוד השר.",135. דוח פערי השכר המגדריים,
,,יבגני סובה,,"היו""ר","לא, לא. אני לא מקצר.",135. דוח פערי השכר המגדריים,
,,גבי לסקי,מרצ,,"סליחה, כבוד השר.",135. דוח פערי השכר המגדריים,
,,יבגני סובה,,"היו""ר",בבקשה.,135. דוח פערי השכר המגדריים,
,,גבי לסקי,מרצ,,"לפי פרסומים בעיתון הארץ, המדינה צפויה שלא לעמוד בחובתה החוקית לפרסם את דוח פערי השכר המגדריים בשירות המדינה עד לתאריך 1 ביוני.ברצוני לשאול:1. מדוע לא החל המשרד באיסוף הנתונים מבעוד מועד?2. מתי צפוי המשרד לפרסם את הדוח האמור?",135. דוח פערי השכר המגדריים,
,,חמד עמאר,,השר במשרד האוצר,"תודה רבה על השאלה. אדוני היושב-ראש, קודם כול, אני פעם ראשונה מדבר כשאתה מנהל, או כבר דיברתי?",135. דוח פערי השכר המגדריים,
,,יבגני סובה,,"היו""ר",דיברת כבר – – –,135. דוח פערי השכר המגדריים,
,,חמד עמאר,,השר במשרד האוצר,כן? יופי.הממונה על השכר מפרסם מדי שנה דוחות על שכר עובדי המדינה והמגזר הציבורי הכוללים בין היתר ניתוחים רחבים על הפערים המגדריים במגזר הציבורי. הדוחות מפורסמים באופן פומבי ונגיש לציבור. משרד האוצר רואה חשיבות גדולה ביישום תיקון החוק בנוגע לשכר שווה. הנתונים הדרושים לפרסום דוח פערי השכר המגדריים בשירות המדינה נאספו מבעוד מועד ומצויים בתהליך עיבוד והכנה לקראת הפרסום. משרד האוצר צפוי לפרסם את הדוח האמור במועד הקבוע בחוק. אנחנו נפרסם אותו במועד הקבוע בחוק.,135. דוח פערי השכר המגדריים,
,,גבי לסקי,מרצ,,"תודה רבה, כבוד השר. שאלת המשך, אם אפשר.בחודש מאי האחרון פרסם הממונה על השכר במשרד האוצר את דוח הוצאות השכר בשירות המדינה לשנים 2022-2021. הדוח מעלה תמונה עגומה שלפיה פער המשכורות הממוצע בין גברים לנשים בשירות הציבורי עומד על כ-1,300 שקלים בחודש. יתרה מזו, הדוח חושף כי בניגוד למגמה בעשור האחרון, פערי השכר בין נשים לגברים גדלו השנה ב-0.2%, לאחר עשור של צמצום בפערים, אף אם איטי.איך ייתכן, כבוד השר, שגדלו פערי השכר במגזר הציבורי בין נשים לגברים? איך מתכוון המשרד לפעול לצמצום פערים אלה? תודה רבה.",135. דוח פערי השכר המגדריים,
,,חמד עמאר,,השר במשרד האוצר,"כמו שאמרתי, אנחנו פועלים באופן רציף בנושא הזה. אני חושב שלא צריכים להיות פערי שכר בין נשים לגברים. יש כל מיני נתונים. בנוסף, אני אגיד לך, גם השתתפות בעבודה במגזר הערבי, במגזר הדרוזי, של נשים, הוא הרבה פחות מבמגזרים אחרים. יחסית למדינת ישראל השיתוף בעבודה של נשים הוא אפילו יותר גבוה מה-OECD, אבל פערי שכר נמצאים וקיימים. אבל באוכלוסייה הדרוזית לדוגמה, או באוכלוסייה הערבית, שם הרבה פחות, במגזר הציבורי וגם במגזר הפרטי. אנחנו פועלים גם בנושא הזה, ואני חושב שצריכה להיות חקיקה ספציפית לנושא על מנת לעודד את הוצאת הנשים הערביות והדרוזיות לעבודה.בנתונים שאת נתת, אין לי התשובה כאן. אני אשלח לך אותה מסודרת, בכתב, שתקבלי אותה.",135. דוח פערי השכר המגדריים,
,,גבי לסקי,מרצ,,תודה.,135. דוח פערי השכר המגדריים,
,,חמד עמאר,,השר במשרד האוצר,תודה לך.,135. דוח פערי השכר המגדריים,
,,יבגני סובה,,"היו""ר","אדוני השר, לחבר הכנסת אורי מקלב יש שאלה נוספת, בבקשה.",135. דוח פערי השכר המגדריים,
,,אורי מקלב,יהדות התורה,,"תודה רבה, אדוני היושב-ראש. האפליה המגדרית קיימת לא רק במגזר הציבורי, היא קיימת ביתר שאת ובלי שום פיקוח במגזר הפרטי ובמגזר העסקי. שם יש אפליה – יותר מאפליה – מובנית כבר בתוך רמת השכר, שהוא לכאורה בלי פיקוח. ויש בזה כשל שוק, או הרבה יותר מכשל, ובעצם אפליה מובנית של נשים שמרוויחות פחות מגברים בחברות, שהן רואות כבר לכתחילה לקלוט נשים כדי לשלם שכר יותר נמוך.לא זו אף זו, גם בתוך המגדר יש אפליה בין נשים שהן ממגזר האוכלוסייה החרדית – שאני מכיר, ששם יש ביקוש לעבודה ועובדים באחוזים לא פחות מהמגזר הכללי – יש אפליה: החברות עצמן, חברה שמעסיקה עובדת חרדית משלמת לעובדת החרדית פחות מלאישה שהיא מהמגזר הכללי. זה נעשה על ידי בדיקות מוסמכות, על ידי מכונים, והנתונים האלה ידועים גם לממשלה.אחרי זמן רב ואחרי שהאפליה הזאת מובנית היום והיא לא משתפרת, אני חושב שיש חשיבות עכשיו וצורך שהממשלה – קרי, האוצר – יתערבו בנושא הזה. תודה.",135. דוח פערי השכר המגדריים,
,,חמד עמאר,,השר במשרד האוצר,"כמו שאמרתי, אנחנו פועלים רבות בנושא הזה, וגם נגעת בנושא החרדי. אנחנו יודעים שהשתתפות הנשים החרדיות בעבודה היא יחסית גבוהה לעומת הגברים החרדים, ואני חושב שגם בחקיקה שאנחנו צריכים לחוקק – ורק בשבוע שעבר עבר חוק בטרומית בנושא של שילוב חרדים וערבים. אנחנו צריכים להקפיד גם בנושא של גברים חרדים, לשלבם בעבודה גם במגזר הפרטי, גם במגזר הציבורי, כי כמו שאמרתי, נשים ערביות, נשים דרוזיות, גברים חרדים, הם פחות עובדים היום ושילובם בעבודה הוא פחות. על כן אנחנו פועלים בנושא הזה בצורה מאוד רצינית, ואם נצטרך חקיקה, גם נחוקק חוקים בנושא.",135. דוח פערי השכר המגדריים,
,,יבגני סובה,,"היו""ר","תודה רבה, אדוני השר. יש לנו עוד שתי שאילתות, אבל אני – – –",135. דוח פערי השכר המגדריים,
,,חמד עמאר,,השר במשרד האוצר,יש עוד משהו שנוגע אליי?,135. דוח פערי השכר המגדריים,
,,יבגני סובה,,"היו""ר","אם אתה רוצה להשיב על השאילתה של חבר הכנסת אוסאמה סעדי, אז אתה מוזמן להישאר, אבל אני לא רואה פה – – –",135. דוח פערי השכר המגדריים,
,,חמד עמאר,,השר במשרד האוצר,"לא, תודה. תודה, אדוני היושב-ראש.",135. דוח פערי השכר המגדריים,
,,יבגני סובה,,"היו""ר","אני מקווה מאוד ששרת הפנים תכף תגיע. אז תודה רבה לשר חמד עמאר. אנחנו נעבור לשלישית.אנחנו נעבור לשאילתה לשרת הפנים בנושא: מסילת הרכבת נחף, של חבר הכנסת אוסאמה סעדי. בבקשה, חבר הכנסת אוסאמה סעדי. אם אתה רוצה לספר לנו, אז אתה יכול לספר ואז תחזור כשהשרה תיכנס לאולם. אם אתה רוצה בינתיים לנצל את הדקה הזאת שהיא בדרך, אז תקבל דקה נוספת בהצגת השאילתה.",135. דוח פערי השכר המגדריים,
,,קריאה,,,"אני יכול לעבור לשאילתה הבאה, אם – – –",135. דוח פערי השכר המגדריים,
,,יבגני סובה,,"היו""ר",גם השרה הבאה. היא צריכה להשיב על שתי שאילתות.,135. דוח פערי השכר המגדריים,
,,אורי מקלב,יהדות התורה,,– – – עד כדי כך – – –,135. דוח פערי השכר המגדריים,
,,יבגני סובה,,"היו""ר","לא. אנחנו מחכים גם לשרת החינוך, שצריכה להגיע ולהשיב לשאילתה נוספת.",135. דוח פערי השכר המגדריים,
,,אורית מלכה סטרוק,הציונות הדתית,,אולי היא לא סופרת את הכנסת – – –,135. דוח פערי השכר המגדריים,
,,יבגני סובה,,"היו""ר","אז זאת שאלה, זאת סוגיה בפני עצמה, ואנחנו נטפל בזה. אנחנו לא פעם אמרנו שהשרים שמשיבים על שאילתות חייבים להיות, לפחות לכבד את הכנסת. והינה, אני מנצל את ההזדמנות ואני קורא גם לשרת החינוך, שצריכה להשיב, להגיע, וגם לשרת הפנים, שעדכנו אותי שהיא מגיעה, היא בדרך. טוב, בוא ניתן לך בכל זאת להציג את הנושא.",136. מסילת הרכבת נחף,
,,אוסאמה סעדי,הרשימה המשותפת,,"כן. אדוני היושב-ראש, היה דיון עכשיו בוועדת הפנים בנושא – גם אתה השתתפת, אדוני היושב-ראש.",136. מסילת הרכבת נחף,
