knesset,session,speaker,party,role,text,subject,sub_subject
,,,,,"דברי הכנסתחוברת כ""טישיבה קל""ו",נאומים בני דקה,
,,מיקי לוי,,"היו""ר","היום א' בסיוון התשפ""ב, 31 במאי 2022. אני מתכבד לפתוח את מליאת הכנסת.חברי הכנסת, נאומים בני דקה – הצבעה, בבקשה. עד שאני אקבל את הרשימה, חבר הכנסת טופורובסקי, בבקשה.",נאומים בני דקה,
,,בועז טופורובסקי,יש עתיד,,"תודה רבה, אדוני היושב-ראש, וכמובן למזכיר הכנסת, שהואיל בטובו לפתוח את המיקרופון. חבריי חברות וחברי הכנסת, כמו בכל שבוע, גם הפעם אקריא את שמות ההרוגים ואציין את תאונות הדרכים הקטלניות שהתרחשו בשבוע החולף. אני מקווה שהזמן יספיק לי, כי היה שבוע איום ונורא.ביום שלישי, 24 במאי, נהרג גבר בן 37 בכביש 6, סמוך למחלף אייל. באותו היום נהרגה הולכת רגל בת 60 בתאונה בכביש 353 סמוך ליישוב שריגים. ב-26 במאי נהרג גבר בן 77 בכביש 2544 שבנגב. בהמשך אותו יום נהרגה אישה בת 60 בתאונה בכביש 5 סמוך לפתח תקווה. למוחרת, 27 במאי, נהרגו רוכב אופנוע והנוסע שרכב איתו, בני 22 ו-19, בתאונה ברחוב יפת בתל אביב. ביום שבת, 28 במאי, התרחשה תאונה מחרידה בכביש 90, ונהרגו מוחמד עביד, בן 65, ובתו נור, בת 40, ביחד עם הנכד דאוד שוויקי, בן ארבע – כל זה בתאונה בכביש 90, ששם גם נהרגה נערה בת 13. ביום ראשון, 29 במאי, נהרג רוכב אופנוע בן 24 בתאונה שהתרחשה בנצרת. בהמשך היום נפטרה מפצעיה צעירה בת 20 לאחר תאונה שבה נפגעה בכביש 293 סמוך לבית קמה ב-27 במאי. למוחרת, 30 במאי, נהרגה אישה בת 47, לאחר שהג'יפ שבו נסעה התהפך ליד היישוב שאר ישוב שבצפון. אתמול נפטרה מפצעיה אור הניגמן נחמן, בת 32, לאחר תאונה שעברה בכביש 5 ב-26 במאי.14 אנשים, אדוני היושב-ראש וחבריי חברות וחברי הכנסת, 14 אנשים נהרגו בכבישי ישראל בשבוע האחרון, ואי-אפשר שלא לדבר שוב על כביש 90 הנוראי, ששם ב-20 שנה האחרונות נהרגו 89 אזרחים, חמישה רק בחודש האחרון, ומעל ל-1,300 פצועים, וזה עוד לפני חודשי הקיץ שבאים אלינו, עם כל הסכנות שיש סביבם.אנחנו נמשיך לעשות הכול, בוועדת המשנה ובכלל, בשביל שיהיו פחות הרוגים בדרכים. תודה.",נאומים בני דקה,
,,מיקי לוי,,"היו""ר","תודה רבה. חבר הכנסת טייב, בבקשה.",נאומים בני דקה,
,,יוסף טייב,"ש""ס",,"אדוני היושב-ראש, חבריי חברי הכנסת, אני רוצה להציג בפניכם את הסיפור הכאוב של ד""ר ליונל קריאף, הנשוי לאזרחית ישראלית. הוא רופא צרפתי יהודי, מהמומחים המובילים בתחום הרפואה הגרעינית, אשר פיתח טכנולוגיה לגילוי מוקדם של מחלת האלצהיימר. ד""ר קריאף הציג בכנס את התוכנית שפיתח, ומאז הוא נרדף ממניעים אנטישמיים על ידי אינשי דלא מעלי בצרפת כדי להוביל להסתלקותו ממקצועו ועל מנת להשתלט על תגליתו. כתוצאה מכך נאלצו הוא, אשתו וילדיו לברוח מהרודפים ולעלות לישראל. ד""ר קריאף נאלץ להתמודד עם מעל 160 הליכים משפטיים שננקטו נגדו, חשבונות הבנק של בני הזוג נחסמו, בית המשפט אישר הליך כינוס נכסים, שבמסגרתו נמכרו שני מרכזים לרפואה גרעינית שהיו בבעלותו, ואף ביתם הפרטי נמכר. בני הזוג קריאף איבדו את כל רכושם בצרפת. מדובר בחיסול תעסוקתי ופיננסי ממוקד של בני הזוג קריאף. בפרוטוקול של המועצה האזורית של פיקרדי שבצרפת מתאריך 7 בספטמבר 2012, גב' לורנס רוסיניול – אז חברת סנאט ולימים שרת הבריאות בממשלת צרפת – אף היא מזכירה שאכן יש בפרשה הזאת ריח רע של אנטישמיות.כששמעתי את הנושא הכאוב פניתי לרשויות בצרפת ואף לשר המשפטים כדי ללמוד על הפרטים בפרשה הכאובה הזו, ונעניתי על ידו שקיימת הפרדת רשויות ושהנושא בדיון בבית המשפט הצרפתי, ולכן הוא לא יכול להתערב בהליך. חברים, כידוע לכם, על פי המשפט הבין-לאומי הפומבי, אין מדינה מתערבת בענייניה הפנימיים של מדינה זרה, אולם כלל זה מפסיק לחול כאשר המדינה הזרה הפרה זכויות אדם וזכויות יסוד, ובפרט כאשר ההפרות בוצעו כנגד אזרח של מדינה אחרת – בענייננו, מדינת ישראל – וממניעים אנטישמיים.פניתי למחלקה למאבק באנטישמיות במשרד התפוצות, ונעניתי שאין ביכולתם לפעול בנושא. אשר על כן, אני קורא שוב למשרד התפוצות ולמשרד החוץ לפעול יחד כדי לתקן את העוולה. כנציג קהילת עולי צרפת בישראל אני אמשיך ללוות את הנושא החשוב הזה עם עורך דינם אלכסנדר בוכינגר, עד אשר ימוצה הדין. תודה רבה.",נאומים בני דקה,
,,מיקי לוי,,"היו""ר","תודה רבה. חבר הכנסת בוסו, בבקשה.",נאומים בני דקה,
,,אוריאל בוסו,"ש""ס",,"אדוני היושב-ראש, כנסת נכבדה, רפורמת מוניות השירות היא מהמורכבות שידעה הכנסת להכין. לקח לוועדת הכלכלה שנים להכין אותה, בדיונים אל תוך הלילה, בשמיעה של מאות אנשים. אבל משרד התחבורה, במקום לקדם את הרפורמה, עושה הכול, אבל הכול, כדי לטרפד אותה ולהפוך אותה ללא רווחית לתאגידי המוניות.היום פורסם ששרת התחבורה פרסמה קול קורא לביזור ענף מוניות השירות והעברתו ל-15 עיריות עשירות, תוך פגיעה בתחבורה הציבורית, באוטובוסים. מה שמרב מיכאלי לא מספרת זה שכל המהלך נועד להרחיב את התחבורה הציבורית בשבת. את כל זה היא עושה תוך דילוג על ועדת הכלכלה וצפצוף על שורת חוקים של הכנסת, תוך נטילת סמכויות של הכנסת לעצמה. שלטון החוק? הצחקתם אותה. ממשלת בנט-מיכאלי ממשיכה למחוק את זהותה היהודית של המדינה בשתיקת הכבשים של מפלגת ימינה, שיכולה להטיל וטו ולא עושה זאת. איש משומרי הסף שאמורים לרסן את הממשלה אינו פוצה פה ולא בולם את הפרת החוק. כמה מפתיע.אני קורא לך, אדוני היושב-ראש של הכנסת, להילחם על כבודה של הכנסת ועל צעדיו של הבית הזה, ויפה שעה אחת קודם.",נאומים בני דקה,
,,מיקי לוי,,"היו""ר","לא כל כך הבנתי מה תפקידי בכוח, אבל אני אדבר איתך אחר כך בארבע עיניים, בסדר? תודה רבה. חבר הכנסת מעוז, בבקשה.",נאומים בני דקה,
,,אבי מעוז,הציונות הדתית,,"תודה, אדוני היושב-ראש. נאום הנדסת תודעה מס' 54, והפעם על הפיכה שלטונית. הסירוב של שופטי המחוזי לאפשר לפרקליטות לתקן את כתב האישום נגד חבר הכנסת בנימין נתניהו הוא הזדמנות להזכיר לציבור הרחב איך הנדסת התודעה הביאה להפיכה שלטונית בישראל. לאורך שנים, במהלך רחב היקף ובהשקעה עצומה של משאבים, שהיו שותפים להם גורמים במשטרה, בפרקליטות, בתקשורת ובשמאל הפוליטי – זה הגלוי וזה שהיה מחופש לימין – נשטפה התודעה הציבורית במסרים על שחיתותו הנוראית של נתניהו ועל חומרת האישומים והראיות נגדו, כביכול. המהלך הצליח מבחינתם, והשפעותיו הביאו לכך שהמחנה היהודי-לאומי שוב ושוב לא הצליח להקים ממשלה, והוקמה ממשלת מדינת כל אזרחיה.כעת, משהתיקים נגד נתניהו קורסים ואנשי מערכת אכיפת החוק נחשפים במלוא קלונם, אני ממליץ לשופטים להכריז על ביטול המשפט, לפרקליטות – לחזור בה מהתיקים התפורים, ולראשי הקואליציה – להחזיר לעם ישראל את השלטון שנגנב ממנו. תודה.",נאומים בני דקה,
,,מיקי לוי,,"היו""ר","תודה רבה. חברת הכנסת בזק, בבקשה.",נאומים בני דקה,
