knesset,session,speaker,party,role,text,subject,sub_subject
,,,,,"דברי הכנסתחוברת כ""טישיבה קל""ז",שאילתות דחופות,
,,מיקי לוי,,"היו""ר","היום ב' בסיוון התשפ""ב, 1 ביוני 2022. אני מתכבד לפתוח את מליאת הכנסת.שאילתה דחופה לשרת הפנים: מאגר ביומטרי של רשות האוכלוסין, של חבר הכנסת אורי מקלב, מכיוון שחברת הכנסת לסקי תקועה בפקקים. בבקשה, חבר הכנסת מקלב.",שאילתות דחופות,
,,אורי מקלב,יהדות התורה,,השאילתה שלי על – – –,שאילתות דחופות,
,,מיקי לוי,,"היו""ר","אוקיי. אני מתנצל. קידום חקלאות ירוקה על גגות. אני מכיר את זה היטב, ראיתי את זה במעלה אדומים – מרשים מאוד, ללא חרקים.",שאילתות דחופות,
,,אורי מקלב,יהדות התורה,,"על זה אני מדבר, זה כבר לא קיים.",שאילתות דחופות,
,,מיקי לוי,,"היו""ר","בוקר טוב, גברתי השרה. בבקשה, חבר הכנסת מקלב.",474. קידום חקלאות ירוקה על גגות,
,,אורי מקלב,יהדות התורה,,"תודה רבה, אדוני היושב-ראש. מכובדתי השרה, הנושא הוא קידום חקלאות ירוקה על גגות. גברתי השרה, זה כמה שנים מנסים יזמים לקדם חקלאות ירוקה על גגות. המיזם נתקע מכיוון שהרשויות המקומיות דורשות ארנונה גבוהה, והביורוקרטיה לקבלת היתר בנייה ארוכה. שאילתה דומה בנושא נשלחה גם לשר החקלאות ופיתוח הכפר, בנושא מים.ברצוני לשאול:1. מדוע לא מתקן משרדך את החוק באופן שהמיזם יהיה פטור מארנונה או קביעת תעריף נמוך?2. מדוע המשרד לא יוזם פטור או מסלול מהיר מהיתר תכנון ובנייה?",474. קידום חקלאות ירוקה על גגות,
,,אילת שקד,,שרת הפנים,"תודה רבה, חבר הכנסת אורי מקלב. האמת שזה נושא חשוב ואני שמחה שאתה מעלה אותו. שימוש בגגות לצרכים חקלאיים תוך קידום ערכים סביבתיים ואקולוגיים, קודם כול זו תופעה שהיא יחסית חדשה, והיא כמובן מבורכת. מי שמגדל באדניות או משהו כזה צמחים על הגגות, אז הוא לא צריך כלום – הוא יכול פשוט לעשות את זה, הוא לא צריך לשלם ארנונה, הוא לא צריך היתר. הבעיה היא אם אתה רוצה כבר לשים חממות ודברים יותר רציניים. אז משרד הפנים מכיר בחשיבותן של היוזמות האלה, ואני מבינה גם שצריך להוזיל עלויות וגם שסוגי הארנונה שקיימים כעת בעצם לא נותנים מענה לשימוש הזה.אני הנחיתי את הצוות המקצועי במשרד שלי להכין תיקון חקיקה בעניין סיווגי ארנונה רלוונטיים כחלק מחוק ההסדרים ונכניס גם את הסוגיה הזאת, אבל כן חשוב לי להגיד שמי שרוצה רק לגדל צמחים על הגג, יכול לעשות את זה. רק אם אתה רוצה לבנות חממות או מבנים, קונסטרוקציות, אז כבר צריך היתרים וארנונה, אבל כל עוד זה רק אדניות ועציצים וזה רק צמחים בלי מבנים, אז כל אחד יכול לעשות את זה.",474. קידום חקלאות ירוקה על גגות,
,,ינון אזולאי,"ש""ס",,יש גדר. מה זה חממה?,474. קידום חקלאות ירוקה על גגות,
,,אילת שקד,,שרת הפנים,"תראה, אנחנו עד היום לא התעסקנו בזה, כי זו תופעה חדשה יחסית. המדיניות שלי היא לאפשר כמה שאפשר בלי ביורוקרטיה, בלי היתרים ובלי ארנונה. אנחנו עושים ישיבות ונראה מתי כבר כביכול אי-אפשר, מה זה חממה שדורשת איזו ארנונה מינימלית והיתרים.",474. קידום חקלאות ירוקה על גגות,
,,מיקי לוי,,"היו""ר","זה הופך להיות תעשייתי. אני הייתי שם, פשוט.",474. קידום חקלאות ירוקה על גגות,
,,אילת שקד,,שרת הפנים,כן.,474. קידום חקלאות ירוקה על גגות,
,,מיקי לוי,,"היו""ר","שאלת המשך, חבר הכנסת מקלב, בבקשה.",474. קידום חקלאות ירוקה על גגות,
,,אורי מקלב,יהדות התורה,,"כן, אם אפשר. ראשית, אדוני היושב-ראש, אתה ציינת בתחילת דבריך שאתה ביקרת בחממה כזאת במעלה אדומים. לצערי, היא נסגרה. הוא היה פורץ דרך בעניין הזה. זה היה יכול להיות פורץ דרך מבחינת סטרטאפ ישראלי אפילו – אין הרבה מדינות, אולי בעוד איזו מדינה אחת.היתרונות של החקלאות על גגות, ודאי, גברתי השרה, יכולים להיות רק אם זה יותר מסחרי. אם מישהו רק שם על הגג איזה אדנית, זה לא מה שהולך לעשות את ההשקעה הגדולה. והרי יש בזה יתרונות רבים, ולא כאן המקום בכל אופן להאריך בעניין הזה. אבל אני חושב, אם יורשה לי רק על ידי השרה – אולי מילה אחת בנושא הדרכונים, ששווה אולי התייחסות שלך.",474. קידום חקלאות ירוקה על גגות,
,,אילת שקד,,שרת הפנים,"רגע, אתה יודע מה, חבר הכנסת מקלב? אני אתייחס מייד לדרכונים. יש לי כאן תשובה ממינהל התכנון ואני רוצה להקריא לך אותה, בסדר? ואז תשאל אותי על הדרכונים.",474. קידום חקלאות ירוקה על גגות,
,,אורי מקלב,יהדות התורה,,בסדר.,474. קידום חקלאות ירוקה על גגות,
,,אילת שקד,,שרת הפנים,"מינהל התכנון רואה בשימוש בחזית החמישית של הבניין, זאת אומרת בגג, עיקרון חשוב שמקבל תשומת לב גדולה בעת האחרונה. ישנם שימושים אפשריים לחזית החמישית אשר לכל אחד מעלות שונות. שטח הגג יכול לשמש לשימושים שונים, ובהם דוד שמש, פאנלים סולריים לאנרגיה מתחדשת, מתקנים לריסון מי נגר לצמצום נזקי שיטפונות והצפות, גגות ירוקים על מנת לצמצם איי חום עירוניים ולהוות חלופות לשטחים פתוחים, וכן מענה אקולוגי, חקלאות עירונית, גגות שמשמשים לפעילות פנאי, תרבות, מסחר. לכן, לא נכון לתעדף דווקא סוג אחד של שימוש אלא לוודא שהחזית מתוכננת ומנוצלת כהלכה.על מנת לוודא ניצול יעיל של משאב הקרקע פותח על ידי מינהל תכנון כלי לבחינת איכות התכנון העירוני שנקרא ""מבט"". בכלי זה, שמצורף לתוכניות עירוניות משמעותיות, היזמים עונים על שאלות מסוימות בכמה תחומים, ובהם סוגיית ניצול הגגות, כדי שמי שמגיש את התוכנית יוכל לתת את הדעת על המשאב הזה. נוסף על כך, קיים רצון אף לשמר את האופציה להתחדשות עירונית והוספת קומות. מטעמים אלו ראוי לבחון את הגג באופן כולל ולא לאפשר העדפה של תשתית אחת על חשבון אחרת. כאמור, בעת הזאת לא נכון לקדם אפשרות של מתן פטור מהיתר או רישוי במסלול מקוצר לטובת גגות ירוקים בלבד אלא צריך לבחון את הדבר על כל השימושים האפשריים.יש לציין שאין צורך במתן היתר לחקלאות עירונית, כמו שאמרתי קודם. גם כיום ישנם בנייני משרדים ומסחר שיש על גגותיהם כוורות וחקלאות עירונית והן אינן נדרשות להיתר. דרישה להיתר תהיה רק במקרים חריגים שבהם יש מתקני תשתית משמעותיים או בנייה ממשית.טוב, עכשיו נעבור לדרכונים.",474. קידום חקלאות ירוקה על גגות,
,,מיקי לוי,,"היו""ר","אתה רואה? יש כבר התקדמות, חבר הכנסת. בתשובתה של השרה, אני אומר, יש כבר אור בקצה המנהרה.",474. קידום חקלאות ירוקה על גגות,
