knesset,session,speaker,party,role,text,subject,sub_subject
,,,,,"דברי הכנסתחוברת כ""זישיבה ק""ל",מסמכים שהונחו על שולחן הכנסת,
,,מיקי לוי,,"היו""ר","חברי הכנסת, היום ט""ז באייר התשפ""ב, 17 במאי 2022. אני מתכבד לפתוח את מליאת הכנסת.הודעה למזכיר הכנסת, בבקשה.",מסמכים שהונחו על שולחן הכנסת,
,,דן מרזוק,,מזכיר הכנסת,"ברשות יושב-ראש הכנסת, אני מתכבד להודיעכם, כי הונחה היום על שולחן הכנסת, לקריאה ראשונה, מטעם הכנסת, הצעת חוק תגמולים לאסירי ציון ולבני משפחותיהם (תיקון מס' 9) (שינוי מועד יום ציון פועלם של אסירי ציון וקביעת פעולות לציונו), התשפ""ב–2022, של חברי הכנסת אלכס קושניר, יבגני סובה ויוליה מלינובסקי. תודה.",מסמכים שהונחו על שולחן הכנסת,
,,מיקי לוי,,"היו""ר",תודה רבה למזכיר הכנסת.,נאומים בני דקה,
,,מיקי לוי,,"היו""ר","הנושא הבא – נאומים בני דקה. הצבעה, בבקשה. תודה רבה. עד שתונח לפניי הרשימה – חבר הכנסת מעוז.",נאומים בני דקה,
,,קריאה,,,– – –,נאומים בני דקה,
,,מיקי לוי,,"היו""ר","הוא תמיד מצביע, אז אני הולך על בטוח.",נאומים בני דקה,
,,בועז טופורובסקי,יש עתיד,,הנדסת תודעה מס' 52.,נאומים בני דקה,
,,אבי מעוז,הציונות הדתית,,"התמדה, התמדה. בועז, יפה מאוד.אדוני היושב-ראש, תודה. נאום הנדסת תודעה מס' 52, והפעם – על האלימות בהדסה. אתמול עשרות ערבים התפרעו, זרעו הרס ותקפו אנשי צוות ביחידת טיפול נמרץ בבית החולים הדסה הר הצופים בעקבות מות בן משפחתם. מהנדס התודעה, שר הבריאות, אמר בהודעת הגינוי שלו שהאלימות במוסדות הבריאות היא נחלת יהודים וערבים. אחות מבית החולים כתבה לי על מאבטחים של בית החולים שלא מטפלים במתפרעים כי הם מהחמולה שלהם, ועל רופא שבזמן שומר החומות פרסם פוסט תמיכה בטרור ועדיין עובד שם. זוהי תוצאה של הנדסת תודעה ארוכת שנים, שמסרבת להכיר בכך שאנחנו עדיין במלחמת העצמאות על המשילות והריבונות בארץ ולא מבחינה בין אח לאויב.הגיע הזמן להפסיק את מכבסת המילים ואת הפחד ממשטרת המחשבות של הפוליטיקלי-קורקט, שמביאים את צוותי הרפואה, החולים ומשפחותיהם למצב של סכנה ממשית לחייהם. אני ממליץ לשר הפרוגרס הפוסט-מודרני, המכונה שר הבריאות, להתפטר עוד היום מתפקידו. תודה.",נאומים בני דקה,
,,מיקי לוי,,"היו""ר","תודה רבה. חברת הכנסת רון בן משה, בבקשה.",נאומים בני דקה,
,,יעל רון בן משה,כחול לבן,,"תודה, אדוני היושב-ראש. כנסת נכבדה, הוועדות למתחמים מועדפים לדיור הוקמו ככלי חריג בחקיקה לפתרון משבר הדיור, ובגלל חריגותן המשפטית הן חוקקו אך ורק כהוראת שעה, בשנת 2014. מאז הקמת הוותמ""ל – אותן ועדות למתחמים מועדפים לדיור – הוכרזו כבר 159 מתחמים, הכוללים 470,000 יחידות דיור; עם זאת, הפתרון לא הוכיח את עצמו: מחירי הדיור לא ירדו, ואחוזי המימוש של תוכניות הוותמ""ל נמוכים ביותר. למה הוא כן גרם, אותו ותמ""ל? לפגיעה קשה בעשרות אלפי דונם חקלאיים ובעשרות יישובים במרחב הכפרי.למרות התוצאות העגומות, הוותמ""ל קיבל הארכה של ארבע שנים נוספות, תוך הבטחה – גם לנו, חברי הכנסת בקואליציה הנוכחית – שהוא יתמקד באוכלוסיות מיוחדות המתמודדות עם מצוקת דיור – מיעוטים וחרדים בעיקר – ובתוככי הערים, לדוגמה פינוי-בינוי במתחמים מבוססי תחבורה ציבורית. כיום אנו עדים לתוכניות חדשות בהיקפים של עשרות אלפי דונם חקלאיים, בעיקר בדרום ובעוטף עזה דווקא, ללא צורך ממשי, ללא היתכנות תכנונית, בלי לקחת בחשבון הסטה של תשתיות לאומיות כמו רכבת, באופן שמשלש את הערים. כדאי שהערים יגדלו, אבל מה הבהילות? התוכניות הללו הן על חשבון יישובים שחלקם הוקמו לצורך אחיזה בקרקע עם קום המדינה.אני קוראת לשר הבינוי והשיכון ולשרת הפנים להפסיק את הנגיסה המיותרת והפוגענית במרחב הכפרי ולחזור למטרות המקוריות של הוותמ""ל – תוספת יחידות דיור למימוש מיידי ולא מתחמים שספק אם ייבנו בהם דירות בעשורים הקרובים ובינתיים רק מחריבים חקלאות, יוצרים משבר תשתיות ומשבר לביטחון המזון בכסות פתרון למשבר הדיור, שכאמור, רחוק מלהיפתר. תודה.",נאומים בני דקה,
,,מיקי לוי,,"היו""ר","תודה על דברייך המעניינים. חבר הכנסת גינזבורג, בבקשה.",נאומים בני דקה,
