knesset,session,speaker,party,role,text,subject,sub_subject
,,,,,"דברי הכנסתחוברת כ""חישיבה קל""ד",שאילתות ותשובות,
,,מיקי לוי,,"היו""ר","בוקר טוב. היום כ""ד באייר תשפ""ב, 25 במאי 2022. אני מתכבד לפתוח את מליאת הכנסת.אנחנו מתחילים עם סדר-היום – שאילתה לשרת הכלכלה והתעשייה בנושא עיכובים בתשלום סבסוד מעונות יום עד גיל שלוש בחברה הערבית, של חבר הכנסת אחמד טיבי. אבל השרה לא נמצאת. בבקשה, סגן השרה נמצא? השר בר לב הוא שר תורן, אז הוא לא יכול להשיב על זה. ברשותך, חבר הכנסת טיבי, נמתין כמה דקות. תודה.סגן שר הכלכלה, בבקשה. חבר הכנסת טיבי, בבקשה.",628. סבסוד רישיון ג' לנהגים,
,,אחמד טיבי,הרשימה המשותפת,,"מכובדי היושב-ראש, סגן שר הכלכלה והתעשייה, מפניות שהגיעו למשרדי עולה שהבקשות לרישיון והזימונים למכוני בריאות מתעכבים חודשים ארוכים בזמן שיש מחסור של כ-3,000 נהגי אוטובוס בתחבורה הציבורית וצורך מוגבר בנהגים חדשים. שאלה דומה נשלחה למשרד התחבורה.ברצוני לשאול:1. האם למשרדך יש תוכנית לסבסד את עלות האגרה הגבוהה, המהווה נטל כלכלי כבד?2. מה עמדתכם בנוגע להוזלה זמנית של האגרה?",628. סבסוד רישיון ג' לנהגים,
,,יאיר גולן,,סגן שרת הכלכלה והתעשייה,"אדוני היושב-ראש, חבר הכנסת טיבי, חבריי חברי הכנסת - -",628. סבסוד רישיון ג' לנהגים,
,,אחמד טיבי,הרשימה המשותפת,,קראתי שאילתה רגילה?,628. סבסוד רישיון ג' לנהגים,
,,מיקי לוי,,"היו""ר","לא נורא. קפצת, לא רציתי להפסיק אותך. אנחנו נענה על זה ואתה תחזור לשאילתה הדחופה. לא קרה כלום. בבקשה. פשוט לא היה שווה להפסיק אותך באמצע.",628. סבסוד רישיון ג' לנהגים,
,,אחמד טיבי,,,- - -,628. סבסוד רישיון ג' לנהגים,
,,מיקי לוי,,"היו""ר","נכון, לכן זה קל. בבקשה.",628. סבסוד רישיון ג' לנהגים,
,,יאיר גולן,,סגן שרת הכלכלה והתעשייה,"גבירותיי ורבותיי, לפני שאענה בנושא של הסדרת מעמד נהגי האוטובוס – אכן, נושא כאוב מאוד ויש גם מחסור, הייתי אומר מחסור קריטי, בשוק הישראלי – אני חייב לומר שאחרי מה שראיתי כאן ביום שני ואחרי שהייתי עד למה שרץ בתקשורת וברשתות החברתיות, אני שואל את עצמי מה קרה בתנועת הליכוד. האם יש כוונה להחליף את תמונתו של מנחם בגין בתמונתו של ברוך גולדשטיין או תמונה של איזשהו אלמנט קיצוני אחר? לאיפה אנחנו הולכים? מה אנחנו רוצים? מה הליכוד רוצה? תנועה שהולכת לאט-לאט ומקצינה עוד ועוד ימינה, עוד ועוד ימינה – עד לאן נגיע, עד לאן נגיע? אני לא מבין את ההתבטאויות, שבסופו של דבר מנסות באופן לא אחראי לצייר את כל אזרחי ישראל הערבים כאלמנט מסוכן. אני לא מבין איך זה בונה חברה טובה יותר, חברה בריאה יותר. האם אנחנו לא מסוגלים להבדיל בין מי שצריך להילחם בו למי שצריך לחבק אותו ולומר: אתה אזרח רצוי במדינת ישראל, אתה שותף שלי, אנחנו נבנה חברה בריאה יותר וטובה יותר יחדיו, ובגורמים הקיצוניים נילחם? מה יותר פשוט מזה, מה יותר טבעי מזה, מה יותר ממלכתי מזה? האם לא הגיע הזמן לומר: זאת דרכנו? אני רוצה לומר לך אדוני היושב-ראש, זאת בהחלט דרכי.ביחס לשאילתה, כמו שציינתי, זה דבר שנמצא בחוסר מהותי במשק הישראלי. בשאילתה עולות כמה סוגיות שנוגעות למעמדם ולזכויותיהם של נהגי האוטובוס, והן רלוונטיות לכמה גורמים ברגולציה הממשלתית. מכאן הקושי לתת מענה חד-משמעי וברור, לפחות ממקומי במשרד הכלכלה. אני אדגיש ואומר שהנושא בעיקרו מצוי במגרש המשחקים של משרד התחבורה, ומשרד הכלכלה בהקשר הזה הוא שותף לכל הנושא של הסדרת העיסוקים. כידוע, יש במשק הישראלי מקצועות מוסדרים ומקצועות שאינם מוסדרים, וכל מה שדורש הסדרה או מועמד להסדרה נדון במשרד הכלכלה. כך או כך, קליטת נהגי תחבורה ציבורית בשירות המדינה זה חלק מאחריותו של הממונה על השכר וזה חלק מהסכמי העבודה שמובלים על ידי משרד האוצר, ולכן בהקשר הזה משרד הכלכלה יעשה את המיטב כדי לתמוך בהנחיות של משרד האוצר בהקשר הזה.הסדרת עיסוק נהג תחבורה ציבורית אכן קיים במשרד הכלכלה והתעשייה, ואנחנו בוחנים היום את הרגולציה הקיימת והתאמתה לצורכי המשק המשתנים, תוך שמירה על האיזון שבין איכות המקצוע לבין בטיחות הציבור, וכל זה בהקשר הכולל של דרישה הולכת וגדלה להסדיר שורה ארוכה של מקצועות. אנחנו שוקלים את הנושא כמובן באופן חיובי, מפאת חשיבות המקצוע למשק הישראלי, אך אני חוזר ומדגיש כי נושא זה אינו רלוונטי למתן הרישיונות עצמם, כי זה, כאמור, אחריותו של משרד התחבורה בלבד.ההכרה בנהגי האוטובוס כמקצוע בביטוח הלאומי – גם זה כלול בשאילתה – אני חייב לומר שלא לגמרי הבנתי למה הכוונה, אך בכל זאת - - -",628. סבסוד רישיון ג' לנהגים,
,,אחמד טיבי,הרשימה המשותפת,,אתה עונה על שלוש ביחד? אחר כך יש את נהגי המשאיות.,628. סבסוד רישיון ג' לנהגים,
