knesset,session,speaker,party,role,text,subject,sub_subject
,,,,,"דברי הכנסתל / מושב שני / ישיבות קל""ח–ק""מ /ז'–ט' בסיוון התשפ""ב / 6–8 ביוני 2022 / 30חוברת ל'ישיבה קל""ח",מסמכים שהונחו על שולחן הכנסת,
,,איתן גינזבורג,,"היו""ר","חברי הכנסת, אני מתכבד לפתוח את ישיבת הכנסת. היום יום שני, ז' בסיוון התשפ""ב, 6 ביוני 2022.הודעה לסגנית מזכיר הכנסת, בבקשה.",מסמכים שהונחו על שולחן הכנסת,
,,אלינור ימין,,סגנית מזכיר הכנסת,"ברשות יושב-ראש הישיבה, הינני מתכבדת להודיעכם, כי הונחו היום של שולחן הכנסת –הצעות חוק לדיון מוקדם – החל בהצעת חוק פ/3895/24 וכלה בהצעת חוק פ/3943/24: הצעת חוק סיוע מיידי לנפגעת אונס, התשפ""ב–2022, מאת חברי הכנסת לימור מגן תלם, יבגני סובה, יוליה מלינובסקי, אלכס קושניר, יוסף שיין ואלינה ברדץ' יאלוב; הצעת חוק העונשין (תיקון – החמרת הענישה בשל תקיפת צוות רפואי), התשפ""ב–2022, מאת חבר הכנסת דסטה גדי יברקן; הצעת חוק יישום תוכנית ההתנתקות (תיקון – ביטול סעיפי הפינוי ושינוי שם החוק), התשפ""ב–2022, מאת חבר הכנסת שלמה קרעי; הצעת חוק הרחבת לימודי הבסיס בחינוך שאינו ממלכתי (הוראת שעה), התשפ""ב–2022, מאת חבר הכנסת משה טור פז; הצעת חוק לתיקון פקודת ביטוח רכב מנועי (חיוב שיווק פוליסה), התשפ""ב–2022, מאת חברי הכנסת אחמד טיבי ואוסאמה סעדי; הצעת חוק הקמת ועדת חקירה ממלכתית לפרשת גל הירש, התשפ""ב–2022, מאת חבר הכנסת דוד אמסלם; הצעת חוק איסור הפליה במוצרים, בשירותים ובכניסה למקומות בידור ולמקומות ציבוריים (תיקון – איסור הפליה בשל נשיאת נשק), התשפ""ב–2022, מאת חבר הכנסת אמיר אוחנה; הצעת חוק צער בעלי חיים (הגנה על בעלי חיים) (תיקון – ענישה מזערית), התשפ""ב–2022, מאת חברי הכנסת מכלוף מיקי זוהר ונעמה לזימי; הצעת חוק חכירה הוגנת, התשפ""ב–2022, מאת חברי הכנסת מיכאל מרדכי ביטון, אלי כהן, גלעד קריב, מוסי רז ודוד אמסלם; הצעת חוק דמי מחלה (היעדרות בשל מחלת ילד) (תיקון – היעדרות בעקבות פגיעה בעבירת מין או אלימות חמורה), התשפ""ב–2022, מאת חברת הכנסת אורלי לוי אבקסיס; הצעת חוק השכלה גבוהה חינם, התשפ""ב–2022, מאת חבר הכנסת מופיד מרעי; הצעת חוק המידע הפלילי ותקנת השבים (תיקון – סעיף העונשין), התשפ""ב–2022, מאת חבר הכנסת גלעד קריב; הצעת חוק סייעות במוסדות חינוך, התשפ""ב–2022, מאת חברי הכנסת אימאן ח'טיב יאסין, מנסור עבאס, מאזן גנאים ווליד טאהא; הצעת חוק איסור אלימות בספורט (תיקון – מניעת הרחקה גורפת מאירועי ספורט), התשפ""ב–2022, מאת חברת הכנסת נעמה לזימי; הצעת חוק העונשין (תיקון – תקיפת עובד מערך הבריאות), התשפ""ב–2022, מאת חבר הכנסת אלי כהן; הצעת חוק העונשין (תיקון – מעשה מגונה בהסכמה בקטין שמלאו לו ארבע עשרה שנים וטרם מלאו לו שש עשרה שנים), התשפ""ב–2022, מאת חברי הכנסת יבגני סובה, יוליה מלינובסקי, אלכס קושניר, יוסף שיין, לימור מגן תלם ואלינה ברדץ' יאלוב; הצעת חוק הביטוח הלאומי (תיקון – תשלום דמי אבטלה לנשים שיצאו לחופשה ללא תשלום לאחר לידה), התשפ""ב–2022, מאת חברי הכנסת מיכל וולדיגר, אורית מלכה סטרוק, חוה אתי עטייה, אורלי לוי אבקסיס, קטי קטרין שטרית, אופיר סופר, יצחק פינדרוס, ינון אזולאי ואבי מעוז; הצעת חוק מס רכוש וקרן פיצויים (תיקון – פיצוי בגין נזקי מגפה ונזקי פגעי טבע), התשפ""ב–2022, מאת חברי הכנסת קרן ברק, יצחק פינדרוס ושלמה קרעי; הצעת חוק הביטוח הלאומי (תיקון – תשלום תוספת לגמלת אזרח ותיק לנכה שהכנסתו נמוכה משכר המינימום), התשפ""ב–2022, מאת חבר הכנסת דוד אמסלם; הצעת חוק לתיקון פקודת המשטרה (ביטול איסור הנפת דגל), התשפ""ב–2022, מאת חברי הכנסת מוסי רז, גבי לסקי, עלי סלאלחה ומיכל רוזין; הצעת חוק הרשות הלאומית לתרבות והשפה המרוקאית יהודית, התשפ""ב–2022, מאת חברי הכנסת מיכאל מרדכי ביטון, משה ארבל, ישראל כץ, דוד ביטן, שלמה קרעי, אופיר סופר וקטי קטרין שטרית; הצעת חוק הסדרת העיסוק במקצועות הבריאות (תיקון – הסדרת העיסוק בניתוח התנהגות), התשפ""ב–2022, מאת חברת הכנסת מיכל רוזין; הצעת חוק ביטוח בריאות ממלכתי (תיקון – החזר עבור פינוי באמבולנס), התשפ""ב–2022, מאת חברת הכנסת חוה אתי עטייה; הצעת חוק שוויון זכויות לאנשים עם מוגבלות (תיקון – עמידת מעסיקים פרטיים גדולים ביעד הייצוג ההולם), התשפ""ב–2022, מאת חברת הכנסת מיכל וולדיגר; הצעת חוק הסדרת העיסוק במקצועות הבריאות (תיקון – הסדרת מקצוע הרנטגנאות והדימות), התשפ""ב–2022, מאת חברת הכנסת עידית סילמן; הצעת חוק ארוחה יומית לתלמיד (תיקון – הרחבת תחולת החוק), התשפ""ב–2022, מאת חברת הכנסת נעמה לזימי; הצעת חוק הרשות הלאומית לתרבות הארמית, התשפ""ב–2022, מאת חברי הכנסת מיכאל מרדכי ביטון, מוסי רז, קטי קטרין שטרית, אופיר כץ, ישראל כץ, דוד ביטן, שלמה קרעי, אופיר סופר ורם בן ברק; הצעת חוק הבלו על דלק (תיקון – הגבלת שיעור המס על הדלק), התשפ""ב–2022, מאת חבר הכנסת דסטה גדי יברקן; הצעת חוק הספורט (תיקון – הסדרת העיסוק באימון ספורט), התשפ""ב–2022, מאת חברת הכנסת יעל רון בן משה; הצעת חוק שוויון ההזדמנויות בעבודה (תיקון – איסור הפליה מחמת מצב כלכלי), התשפ""ב–2022, מאת חברי הכנסת מאי גולן, דוד ביטן, דוד אמסלם, משה ארבל, משה אבוטבול, יצחק פינדרוס, מאיר פרוש, יואב גלנט, דסטה גדי יברקן, אבי מעוז, אחמד טיבי, אוריאל בוסו, אורי מקלב, אורלי לוי אבקסיס, גלית דיסטל אטבריאן, עאידה תומא סלימאן, אלי כהן, חיים ביטון, יוסף טייב, יעקב מרגי, משה גפני, יריב לוין, ניר ברקת, אמיר אוחנה, יואב בן צור, ינון אזולאי, אופיר כץ, גילה גמליאל, קטי קטרין שטרית ואופיר אקוניס; הצעת חוק ביטוח בריאות ממלכתי (תיקון – פנייה לנציב קבילות הציבור), התשפ""ב–2022, מאת חברת הכנסת עידית סילמן; הצעת חוק האקלים, התשפ""ב–2022, מאת חבר הכנסת יוראי להב הרצנו; הצעת חוק הסדרים במשק המדינה (תיקוני חקיקה להשגת יעדי התקציב) (תיקון – הנחה בארנונה בעד בן משפחה נכה), התשפ""ב–2022, מאת חברי הכנסת יעקב אשר, משה גפני ואורי מקלב; הצעת חוק פרס כספי בעבור לכידת מחבל, התשפ""ב–2022, מאת חברת הכנסת שרן מרים השכל; הצעת חוק להנצחה, מחקר ותיעוד של פרשת ילדי תימן, המזרח והבלקן, התשפ""ב–2022, מאת חבר הכנסת יואב בן צור; הצעת חוק תשתיות להולכה ולאחסון של נפט על ידי גורם מפעיל (תיקון – ביטול החוק), התשפ""ב–2022, מאת חברת הכנסת גבי לסקי; הצעת חוק ליווי בני משפחות של משרתים בגופי ביטחון ששלחו יד בנפשם, התשפ""ב–2022, מאת חברי הכנסת שלמה קרעי, מיכל רוזין ורם בן ברק; הצעת חוק העונשין (תיקון – בעילה אסורה בהסכמה תוך ניצול מעמד ציבורי מיוחד), התשפ""ב–2022, מאת חברת הכנסת נעמה לזימי; הצעת חוק למניעת הטרדה מינית (תיקון – הרחבת תחולה על עובדים עצמאים, מתנדבים ועובדי כלכלת הפלטפורמה), התשפ""ב–2022, מאת חברי הכנסת מיכל רוזין ושרן מרים השכל; הצעת חוק יסודות התקציב (תיקון – פילוח לפי מגדר), התשפ""ב–2022, מאת חברי הכנסת גבי לסקי, לימור מגן תלם ומיכל שיר סגמן; הצעת חוק חוזה הביטוח (תיקון – ביטוח דירה), התשפ""ב–2022, מאת חברת הכנסת לימור מגן תלם; הצעת חוק לתיקון פקודת המשטרה (הפגנה ליד בתי מגורים), התשפ""ב–2022, מאת חברי הכנסת משה ארבל, ינון אזולאי, משה אבוטבול, חוה אתי עטייה, יעקב מרגי, מיכאל מלכיאלי וחיים ביטון; הצעת חוק סיוע לשדרות וליישובי הנגב המערבי (הוראת שעה) (תיקון – הגדרת קו עימות דרומי), התשפ""ב–2022, מאת חברי הכנסת נירה שפק, ולדימיר בליאק וניר אורבך; הצעת חוק הבנקאות (שירות ללקוח) (תיקון – הפחתת יוקר תשלומי הלוואה לדיור), התשפ""ב–2022, מאת חברי הכנסת שלמה קרעי ומיכאל מרדכי ביטון; הצעת חוק איסור הנפת דגל הרשות הפלסטינית, התשפ""ב–2022, מאת חברי הכנסת אורית מלכה סטרוק, שלמה קרעי, עמיחי שיקלי, אמיר אוחנה, אופיר סופר, מיכל וולדיגר, אבי מעוז, בצלאל סמוטריץ', משה ארבל וינון אזולאי; הצעת חוק טיפול בחולי נפש (תיקון – חברי הוועדות הפסיכיאטריות), התשפ""ב–2022, מאת חברת הכנסת עידית סילמן; הצעת חוק הביטוח הלאומי (תיקון – פטור לעולים חדשים מתשלום דמי ביטוח עבור פנסיה מוקדמת), התשפ""ב–2022, מאת חברי הכנסת יוסף טייב, מיכאל מלכיאלי, יעקב מרגי, משה אבוטבול, ינון אזולאי, משה ארבל, אוריאל בוסו, חיים ביטון, יואב בן צור, שלמה קרעי, אורלי לוי אבקסיס, אורית מלכה סטרוק ומכלוף מיקי זוהר; הצעת חוק התקנת מצלמות לשם הגנה על פעוטות במעונות יום לפעוטות (תיקון – צפייה מקוונת של ההורים בצילומים), התשפ""ב–2022, מאת חבר הכנסת אופיר כץ; הצעת חוק לתיקון פקודת בתי הסוהר (שלילת זכאות למימון שירותי בריאות משפרי איכות חיים לאסיר ביטחוני), התשפ""ב–2022, מאת חברי הכנסת מיכל וולדיגר, אורית מלכה סטרוק, שמחה רוטמן, אופיר סופר, דוד אמסלם, קטי קטרין שטרית, שלמה קרעי, יוסף טייב, משה גפני, ינון אזולאי, יעקב מרגי, משה אבוטבול, אבי דיכטר, גלית דיסטל אטבריאן, מאיר פרוש, אורי מקלב, איתמר בן גביר, גילה גמליאל, יואב גלנט, יואב קיש, יובל שטייניץ, מאי גולן, בצלאל סמוטריץ', חוה אתי עטייה, אורלי לוי אבקסיס, יצחק פינדרוס, אבי מעוז, אופיר כץ, צחי הנגבי, דסטה גדי יברקן, אלי כהן, מיכאל מלכיאלי, אוריאל בוסו, משה ארבל, ניר ברקת ואופיר אקוניס.עוד אודיעכם כי על פי סעיף 96(ד) לתקנון הכנסת, משחדל חבר הכנסת יעקב ליצמן לכהן בכנסת ביום ד' בסיוון התשפ""ב, 3 ביוני 2022, נמחק שמו מהצעות חוק שהיה שותף להן עם מציעים אחרים. כמו כן, הצעת חוק שמספרה פ/3319/24, שהוגשה מטעמו כמציע יחיד, הוסרה מסדר-היום. תודה.",מסמכים שהונחו על שולחן הכנסת,
,,איתן גינזבורג,,"היו""ר",תודה רבה.,3. קריסת מערכת בריאות הנפש בישראל,
,,איתן גינזבורג,,"היו""ר","אנחנו עוברים לנושא הבא על סדר-היום – יותר נכון הנושא הראשון על סדר-היום – הצעות להביע אי-אמון בממשלה. שלוש הצעות אי-אמון בפנינו. ראשונה תהיה הצעתה של סיעת הליכוד בנושא: כישלון הממשלה בטיפול ביוקר המחיה, שאותה ינמק חבר הכנסת יולי יואל אדלשטיין. בבקשה, אדוני. בבקשה, עשר דקות לרשותך.",3. קריסת מערכת בריאות הנפש בישראל,
,,יולי יואל אדלשטיין,הליכוד,,"תודה, אדוני היושב-ראש. חבריי חברי הכנסת, אדוני השר, תראה, אדוני היושב-ראש, אני אגיד לך, אני כמעט רציתי לבטל את הצעת האי-אמון ולהציע לסיעה שלי לא להציע שום אי-אמון בנושא של יוקר המחיה, כי אני שמעתי בשורה משמחת: המס על אננס ירד. אז אמרתי: אנחנו מסודרים, לא צריך באמת יותר לדאוג, לא צריך שום דיונים על יוקר המחיה במדינת ישראל. הבעיה, אדוני היושב-ראש, אני חייב לומר לך, שאני ושר האוצר באים מאותה תפוצה, כפי שאמרו הגששים. אני זוכר שלפני 100 שנה נכתב שם שיר כזה, מהפכני, שבין היתר היו בו השורות המפורסמות: תאכלו אננס ותלעסו שליו כי זה יומכם האחרון, הבורגנים. אז כנראה המשורר מאיאקובסקי ידע שאננס זה סוג של סימן של בורגנים; של אלה שיש להם שמפניה, אננס, וכן הלאה וכן הלאה. אנחנו, במדינה שלנו, קצת שכחנו שאולי בבית צריך מלפפון ועגבנייה. המחירים של המלפפון והעגבנייה מזנקים לשמיים; מזנקים לשמיים יחד עם עוד אלף ואחד דברים. מילא היינו מתרכזים עכשיו – הינה, אני רואה כאן גם את שר החקלאות – היינו מתרכזים רק בכמה דברים שצריך לטפל בהם, בתחום של חקלאות או בתחום של מכס, ובא לציון גואל, אבל זה רחוק מאוד מלהיות המצב האמיתי.בנושא הזה אני אוסיף, אדוני היושב-ראש, שעד לא מזמן, כפי שאתה זוכר, הייתי שר הבריאות. ואני זוכר את הקמפיינים של משרד הבריאות: חייבים לאכול בריא. איך אנחנו יכולים היום להסתכל לאנשים בעיניים ולקרוא להם לאכול בריא? מלפפון, עגבנייה – אלה דברים שעולים הון תועפות. אני כבר לא מדבר על כל מיני דברים שמוגדרים כאוכל בריא, כאוכל מיוחד. שם המחירים בכלל כבר רק למיליונרים. כתוצאה מכך, אנחנו רואים אנשים – פעם היינו אומרים קשי יום, אבל זה לא נכון, אלה אנשים שעובדים, שני בני הזוג, לכאורה משפחה נורמטיבית לגמרי – שסל הקניות שלהם כולל אוכל מעובד, כולל כל מיני דברים שבאמת מזיקים לבריאות לטווח ארוך, אבל רק מסיבה אחת: לחסוך קצת כסף.אפשר להמשיך ודאי עם תחומים רבים. אם אנחנו חושבים על הנושא שכבר דיברתי עליו בעבר והזהרתי כבר לפני כמה חודשים שזה מה שהולך להיות, הנושא של הדלק: ברור לגמרי שאני מכיר את כל הטיעונים. תכף יעלה לכאן השר חמד עמאר ויסביר לי שמדובר במשבר עולמי, ומחירי הדלק מזנקים בכל העולם. הכול נכון. אבל יש גם ממשלות שמתערבות. וברוך השם, שלא נטעה, יש כסף בקופה הציבורית במדינת ישראל. זה לא שאנחנו מרוששים ולא יכולים לעזור לציבור. הממשלה הייתה חייבת להתערב במחירי הדלק, ויש דרכים חוץ מאיזשהו סבסוד ישיר, לעשות את זה. בטיפול נכון במיסים, בטיפול נכון באמת במצב המשברי שנוצר, אפשר היה למנוע את המצב שאנשים חוזרים עוד פעם לימים של ""אם הבנזין מתל אביב עד רמת גן עולה לך כמו סוף שבוע ביפן, אז אנחנו"" – אני לא יודע כמה עולה סוף שבוע ביפן, אבל המחירים של הדלק מתל אביב לרמת גן מתחילים להזכיר נסיעה לחוץ לארץ. ואלה דברים שכן יש אפשרות למנוע אותם, וזאת כן אחריות ישירה של הממשלה למנוע אותם. אבל איך אנחנו אומרים? כלכלה זה 80% פסיכולוגיה.אני רוצה להתייחס לעוד נושא. אנחנו דיברנו לא מעט על כך שאין דיור בר-השגה ושזוגות צעירים לא יכולים לקנות דירה. במשכנתאות, דרך אגב, מי שמתעניין, החזר המשכנתאות עלה בחודשים האחרונים – יש אומרים שכ-150 שקל נוספים משלמים מחזירי המשכנתה. אבל מה היינו אומרים בדרך כלל? בסדר, כשאנחנו התחלנו את החיים היינו אומרים, אנחנו הלא-צעירים: גם לנו לא הייתה מייד דירה, אז אפשר לשכור דירה בינתיים עד שמתייצבים, עד שמרוויחים, ועד שמחליטים פחות או יותר כמה ילדים יש במשפחה. אנחנו כבר לא שם. מחירי השכירות מזנקים בצורה שפשוט קשה לעקוב אחריה וקשה לתאר. עוד מעט אנחנו כבר לא במצב של זוג צעיר או משפחה צעירה שלא יכולה לקנות דירה, אלא משפחה צעירה שמתקשה גם לשכור דירה, שפשוטו כמשמעו אין לה איפה לגור, אין קורת גג. למה זה קורה?ואני כבר מייד מצפה שמישהו יגיד: אהה, אז מה, גם אתה רוצה צעדים דרקוניים, שהממשלה עוד תנהל את הדיור להשכרה? שעוד תגיד לאזרח בכמה להשכיר את דירתו? לא, אני רחוק משם. אבל אני חושב שזה מעיד, דווקא התחום הזה מעיד על מה שאמרתי, שכלכלה היא ברובה פסיכולוגיה. כשהכול עולה, כשאין ודאות, כשהבלגן חוגג, תסלחו לי, אז ודאי שאנשים גם מנסים להרוויח מכל מה שהם יכולים. אם יש למישהו דירה להשכיר, והוא רואה שהדלק עולה לו כך וכך והקניות עולות לו כך וכך, אז הוא מנסה להלחיץ את הדיירים שישלמו לו עוד כמה מאות או עוד כמה אלפי שקלים – תלוי ודאי באיזו דירה מדובר. רק להרוויח עוד קצת, רק לתפוס עוד קצת ביטחון. זאת תוצאה ישירה של התחושה הזאת בציבור של אובדן שליטה.אני באמת יכול להמשיך פה מתחום לתחום, אבל הדברים ידועים. למה הם ידועים? הם לצערי ידועים. הם ידועים לא מכיוון שכל אחד מתעניין בדיונים שלנו בכנסת; הם ידועים מכיוון שכל אחד חי כאן, בהתאם לרמת החיים שלו, הולך לסופר והולך לקנות דברים לילדים והולך לתיאטרון והולך – נוסע, ליתר דיוק – עם האוטו שלו ליעד כלשהו, ומשלם יותר ויותר ויותר.",3. קריסת מערכת בריאות הנפש בישראל,
,,יוראי להב הרצנו,יש עתיד,,"יולי, מה עם מידה מינימלית של אחריות? הרי הממשלה האחרונה לא הגיעה בריק. אחרי 12 שנים של עליות מחירים – – –",3. קריסת מערכת בריאות הנפש בישראל,
,,יולי יואל אדלשטיין,הליכוד,,"אז הינה, אתה מרים לי להנחתה.",3. קריסת מערכת בריאות הנפש בישראל,
,,יוראי להב הרצנו,יש עתיד,,בבקשה.,3. קריסת מערכת בריאות הנפש בישראל,
,,יולי יואל אדלשטיין,הליכוד,,"למה נתתי בין היתר את הדוגמה הזאת של שכירות? כי ברור שאם אני אגיד שלא יכולים לקנות דירה, אז מייד אתה תגיד: אז איפה הייתם 12 שנה? כשאני נותן דוגמאות כאלה שמעידות על הפניקה בציבור, בכלל על חוסר – הייתי אומר, על אובדן ביטחון במחר – אלה דוגמאות שקשורות לשנה האחרונה. ודרך אגב, אפרופו השאלה איפה הייתם 12 שנה, לא זכור לי שהדלק היה איפה שהוא היום ב-12 השנים האלה.",3. קריסת מערכת בריאות הנפש בישראל,
